Category:Input,Zone:Output,Frequency
C0,101,43
C1,101,14
C2,101,9
C3,101,29
C4,101,22
C5,101,18
C6,101,21
C7,101,0
C0,102,35
C1,102,11
C2,102,8
C3,102,26
C4,102,40
C5,102,16
C6,102,19
C7,102,0
C0,103,33
C1,103,9
C2,103,6
C3,103,19
C4,103,30
C5,103,41
C6,103,20
C7,103,0
C0,104,37
C1,104,7
C2,104,6
C3,104,15
C4,104,29
C5,104,28
C6,104,16
C7,104,0
C0,105,52
C1,105,21
C2,105,6
C3,105,16
C4,105,32
C5,105,15
C6,105,9
C7,105,0
C0,106,56
C1,106,18
C2,106,13
C3,106,22
C4,106,39
C5,106,7
C6,106,19
C7,106,0
C0,107,36
C1,107,11
C2,107,1
C3,107,24
C4,107,36
C5,107,27
C6,107,14
C7,107,0
C0,108,45
C1,108,7
C2,108,9
C3,108,14
C4,108,26
C5,108,23
C6,108,20
C7,108,0
C0,109,25
C1,109,13
C2,109,10
C3,109,17
C4,109,33
C5,109,30
C6,109,28
C7,109,0
C0,110,37
C1,110,14
C2,110,6
C3,110,18
C4,110,23
C5,110,31
C6,110,19
C7,110,0
C0,111,28
C1,111,20
C2,111,9
C3,111,30
C4,111,19
C5,111,12
C6,111,32
C7,111,0
C0,112,46
C1,112,14
C2,112,9
C3,112,19
C4,112,25
C5,112,18
C6,112,38
C7,112,0
C0,113,42
C1,113,15
C2,113,3
C3,113,24
C4,113,20
C5,113,22
C6,113,17
C7,113,0
C0,114,22
C1,114,20
C2,114,22
C3,114,17
C4,114,13
C5,114,18
C6,114,37
C7,114,0
C0,115,38
C1,115,9
C2,115,3
C3,115,32
C4,115,6
C5,115,34
C6,115,26
C7,115,0
C0,116,40
C1,116,13
C2,116,7
C3,116,24
C4,116,9
C5,116,25
C6,116,27
C7,116,0
C0,117,45
C1,117,8
C2,117,10
C3,117,34
C4,117,13
C5,117,17
C6,117,22
C7,117,0
C0,118,42
C1,118,10
C2,118,9
C3,118,27
C4,118,10
C5,118,20
C6,118,27
C7,118,0
C0,119,33
C1,119,12
C2,119,2
C3,119,27
C4,119,26
C5,119,29
C6,119,25
C7,119,0
C0,120,36
C1,120,13
C2,120,2
C3,120,43
C4,120,8
C5,120,34
C6,120,17
C7,120,0
C0,121,46
C1,121,6
C2,121,3
C3,121,16
C4,121,31
C5,121,25
C6,121,19
C7,121,0
C0,122,43
C1,122,10
C2,122,3
C3,122,31
C4,122,147
C5,122,19
C6,122,21
C7,122,0
C0,123,37
C1,123,7
C2,123,9
C3,123,22
C4,123,25
C5,123,18
C6,123,21
C7,123,0
C0,124,53
C1,124,20
C2,124,6
C3,124,17
C4,124,15
C5,124,10
C6,124,32
C7,124,0
C0,125,54
C1,125,15
C2,125,12
C3,125,21
C4,125,19
C5,125,8
C6,125,50
C7,125,0
C0,126,49
C1,126,10
C2,126,4
C3,126,16
C4,126,16
C5,126,20
C6,126,26
C7,126,0
C0,127,44
C1,127,12
C2,127,5
C3,127,21
C4,127,13
C5,127,31
C6,127,22
C7,127,0
C0,128,40
C1,128,16
C2,128,3
C3,128,28
C4,128,13
C5,128,23
C6,128,34
C7,128,0
C0,129,43
C1,129,16
C2,129,7
C3,129,12
C4,129,7
C5,129,27
C6,129,32
C7,129,0
C0,130,45
C1,130,10
C2,130,9
C3,130,25
C4,130,5
C5,130,18
C6,130,38
C7,130,0
C0,131,52
C1,131,11
C2,131,5
C3,131,19
C4,131,11
C5,131,27
C6,131,25
C7,131,0
C0,132,28
C1,132,11
C2,132,16
C3,132,23
C4,132,7
C5,132,54
C6,132,20
C7,132,0
C0,133,37
C1,133,17
C2,133,3
C3,133,40
C4,133,6
C5,133,23
C6,133,31
C7,133,0
C0,134,51
C1,134,11
C2,134,4
C3,134,26
C4,134,10
C5,134,15
C6,134,33
C7,134,0
C0,135,41
C1,135,12
C2,135,8
C3,135,34
C4,135,12
C5,135,23
C6,135,23
C7,135,0
C0,136,28
C1,136,18
C2,136,2
C3,136,38
C4,136,12
C5,136,31
C6,136,25
C7,136,0
C0,137,39
C1,137,17
C2,137,5
C3,137,27
C4,137,12
C5,137,12
C6,137,33
C7,137,0
C0,138,47
C1,138,11
C2,138,2
C3,138,21
C4,138,16
C5,138,21
C6,138,33
C7,138,0
C0,139,55
C1,139,4
C2,139,6
C3,139,15
C4,139,15
C5,139,20
C6,139,30
C7,139,0
C0,140,33
C1,140,15
C2,140,4
C3,140,29
C4,140,13
C5,140,29
C6,140,31
C7,140,0
C0,141,34
C1,141,11
C2,141,3
C3,141,42
C4,141,13
C5,141,16
C6,141,21
C7,141,0
C0,142,36
C1,142,18
C2,142,5
C3,142,36
C4,142,12
C5,142,20
C6,142,46
C7,142,0
C0,143,40
C1,143,18
C2,143,3
C3,143,30
C4,143,6
C5,143,6
C6,143,39
C7,143,0
C0,201,47
C1,201,8
C2,201,2
C3,201,25
C4,201,9
C5,201,24
C6,201,37
C7,201,0
C0,202,34
C1,202,8
C2,202,7
C3,202,35
C4,202,7
C5,202,26
C6,202,17
C7,202,0
C0,203,40
C1,203,11
C2,203,1
C3,203,31
C4,203,4
C5,203,22
C6,203,31
C7,203,0
C0,204,48
C1,204,10
C2,204,4
C3,204,23
C4,204,8
C5,204,22
C6,204,36
C7,204,0
C0,205,30
C1,205,14
C2,205,6
C3,205,26
C4,205,9
C5,205,23
C6,205,27
C7,205,0
C0,301,40
C1,301,11
C2,301,1
C3,301,33
C4,301,5
C5,301,20
C6,301,44
C7,301,0
C0,302,24
C1,302,10
C2,302,7
C3,302,37
C4,302,9
C5,302,34
C6,302,27
C7,302,0
C0,303,37
C1,303,15
C2,303,2
C3,303,41
C4,303,4
C5,303,21
C6,303,42
C7,303,0
C0,304,46
C1,304,13
C2,304,2
C3,304,21
C4,304,7
C5,304,19
C6,304,33
C7,304,0
C0,305,42
C1,305,20
C2,305,2
C3,305,32
C4,305,17
C5,305,18
C6,305,37
C7,305,0
C0,306,56
C1,306,15
C2,306,4
C3,306,18
C4,306,10
C5,306,14
C6,306,56
C7,306,0
C0,307,58
C1,307,10
C2,307,6
C3,307,19
C4,307,8
C5,307,18
C6,307,47
C7,307,0
C0,308,46
C1,308,22
C2,308,4
C3,308,26
C4,308,8
C5,308,8
C6,308,39
C7,308,0
C0,309,44
C1,309,12
C2,309,6
C3,309,25
C4,309,4
C5,309,18
C6,309,28
C7,309,0
C0,310,38
C1,310,14
C2,310,6
C3,310,36
C4,310,8
C5,310,22
C6,310,33
C7,310,0
C0,311,37
C1,311,23
C2,311,4
C3,311,24
C4,311,7
C5,311,8
C6,311,39
C7,311,0
C0,312,43
C1,312,12
C2,312,8
C3,312,27
C4,312,11
C5,312,21
C6,312,48
C7,312,0
C0,313,48
C1,313,11
C2,313,8
C3,313,26
C4,313,5
C5,313,17
C6,313,30
C7,313,0
C0,314,38
C1,314,14
C2,314,6
C3,314,34
C4,314,3
C5,314,13
C6,314,29
C7,314,0
C0,401,35
C1,401,14
C2,401,6
C3,401,20
C4,401,17
C5,401,26
C6,401,34
C7,401,0
C0,402,36
C1,402,13
C2,402,5
C3,402,35
C4,402,7
C5,402,27
C6,402,24
C7,402,0
C0,403,40
C1,403,13
C2,403,7
C3,403,27
C4,403,13
C5,403,15
C6,403,20
C7,403,0
C0,501,74
C1,501,24
C2,501,14
C3,501,45
C4,501,19
C5,501,64
C6,501,48
C7,501,0
C0,502,42
C1,502,8
C2,502,7
C3,502,35
C4,502,4
C5,502,16
C6,502,32
C7,502,0
C0,503,31
C1,503,14
C2,503,15
C3,503,22
C4,503,7
C5,503,20
C6,503,36
C7,503,0
C0,504,37
C1,504,18
C2,504,4
C3,504,37
C4,504,5
C5,504,27
C6,504,22
C7,504,0
C0,505,39
C1,505,13
C2,505,3
C3,505,30
C4,505,5
C5,505,24
C6,505,38
C7,505,0
C0,506,48
C1,506,11
C2,506,6
C3,506,32
C4,506,5
C5,506,15
C6,506,41
C7,506,0
C0,507,46
C1,507,18
C2,507,8
C3,507,31
C4,507,10
C5,507,17
C6,507,40
C7,507,0
C0,508,38
C1,508,13
C2,508,4
C3,508,38
C4,508,5
C5,508,23
C6,508,28
C7,508,0
C0,509,30
C1,509,16
C2,509,1
C3,509,37
C4,509,4
C5,509,24
C6,509,42
C7,509,0
C0,510,36
C1,510,16
C2,510,2
C3,510,39
C4,510,4
C5,510,23
C6,510,26
C7,510,0
C0,511,26
C1,511,18
C2,511,1
C3,511,48
C4,511,4
C5,511,18
C6,511,29
C7,511,0
C0,512,37
C1,512,13
C2,512,6
C3,512,47
C4,512,9
C5,512,17
C6,512,30
C7,512,0
C0,513,39
C1,513,16
C2,513,7
C3,513,37
C4,513,13
C5,513,9
C6,513,33
C7,513,0
C0,514,41
C1,514,20
C2,514,10
C3,514,26
C4,514,8
C5,514,16
C6,514,44
C7,514,0
C0,515,55
C1,515,12
C2,515,7
C3,515,21
C4,515,9
C5,515,15
C6,515,42
C7,515,0
C0,516,37
C1,516,6
C2,516,8
C3,516,27
