"Category:Output","Age:Output","Frequency"
"C0","0:4","0"
"C1","0:4","0"
"C2","0:4","0"
"C3","0:4","0"
"C4","0:4","0"
"C5","0:4","0"
"C6","0:4","0"
"C7","0:4","0"
"C0","5:17","0"
"C1","5:17","7"
"C2","5:17","6"
"C3","5:17","0"
"C4","5:17","14"
"C5","5:17","0"
"C6","5:17","2876"
"C7","5:17","0"
"C0","18:24","0"
"C1","18:24","76"
"C2","18:24","102"
"C3","18:24","0"
"C4","18:24","1136"
"C5","18:24","0"
"C6","18:24","0"
"C7","18:24","0"
"C0","25:34","1253"
"C1","25:34","218"
"C2","25:34","144"
"C3","25:34","0"
"C4","25:34","97"
"C5","25:34","3"
"C6","25:34","9"
"C7","25:34","0"
"C0","35:49","2658"
"C1","35:49","630"
"C2","35:49","195"
"C3","35:49","0"
"C4","35:49","19"
"C5","35:49","5"
"C6","35:49","10"
"C7","35:49","0"
"C0","50:64","0"
"C1","50:64","371"
"C2","50:64","129"
"C3","50:64","2706"
"C4","50:64","16"
"C5","50:64","0"
"C6","50:64","2"
"C7","50:64","0"
"C0","65:100","3"
"C1","65:100","11"
"C2","65:100","1"
"C3","65:100","0"
"C4","65:100","1"
"C5","65:100","2123"
"C6","65:100","0"
"C7","65:100","0"
