Work:Output,Age:Output,Gender:Output,Frequency
agriculteur,0:15,false,0
agriculteur,0:15,true,0
agriculteur,16:20,false,1
agriculteur,16:20,true,0
agriculteur,21:25,false,0
agriculteur,21:25,true,0
agriculteur,26:30,false,0
agriculteur,26:30,true,0
agriculteur,31:50,false,9
agriculteur,31:50,true,13
agriculteur,51:60,false,9
agriculteur,51:60,true,16
agriculteur,61:75,false,2
agriculteur,61:75,true,4
agriculteur,76:80,false,0
agriculteur,76:80,true,6
agriculteur,81:100,false,0
agriculteur,81:100,true,0
artisant,0:15,false,0
artisant,0:15,true,0
artisant,16:20,false,0
artisant,16:20,true,0
artisant,21:25,false,0
artisant,21:25,true,0
artisant,26:30,false,0
artisant,26:30,true,2
artisant,31:50,false,0
artisant,31:50,true,1
artisant,51:60,false,0
artisant,51:60,true,0
artisant,61:75,false,0
artisant,61:75,true,0
artisant,76:80,false,0
artisant,76:80,true,0
artisant,81:100,false,0
artisant,81:100,true,0
commercant,0:15,false,0
commercant,0:15,true,0
commercant,16:20,false,0
commercant,16:20,true,0
commercant,21:25,false,0
commercant,21:25,true,0
commercant,26:30,false,0
commercant,26:30,true,1
commercant,31:50,false,1
commercant,31:50,true,2
commercant,51:60,false,0
commercant,51:60,true,0
commercant,61:75,false,6
commercant,61:75,true,2
commercant,76:80,false,0
commercant,76:80,true,0
commercant,81:100,false,0
commercant,81:100,true,0
conducteur,0:15,false,0
conducteur,0:15,true,0
conducteur,16:20,false,0
conducteur,16:20,true,0
conducteur,21:25,false,0
conducteur,21:25,true,0
conducteur,26:30,false,0
conducteur,26:30,true,0
conducteur,31:50,false,1
conducteur,31:50,true,0
conducteur,51:60,false,0
conducteur,51:60,true,3
conducteur,61:75,false,0
conducteur,61:75,true,0
conducteur,76:80,false,0
conducteur,76:80,true,0
conducteur,81:100,false,0
conducteur,81:100,true,0
ecolier,0:15,false,24
ecolier,0:15,true,12
ecolier,16:20,false,4
ecolier,16:20,true,6
ecolier,21:25,false,1
ecolier,21:25,true,1
ecolier,26:30,false,1
ecolier,26:30,true,2
ecolier,31:50,false,0
ecolier,31:50,true,0
ecolier,51:60,false,0
ecolier,51:60,true,0
ecolier,61:75,false,0
ecolier,61:75,true,0
ecolier,76:80,false,0
ecolier,76:80,true,0
ecolier,81:100,false,0
ecolier,81:100,true,0
employe_prive,0:15,false,1
employe_prive,0:15,true,0
employe_prive,16:20,false,0
employe_prive,16:20,true,0
employe_prive,21:25,false,2
employe_prive,21:25,true,0
employe_prive,26:30,false,1
employe_prive,26:30,true,2
employe_prive,31:50,false,1
employe_prive,31:50,true,1
employe_prive,51:60,false,2
employe_prive,51:60,true,2
employe_prive,61:75,false,0
employe_prive,61:75,true,0
employe_prive,76:80,false,0
employe_prive,76:80,true,0
employe_prive,81:100,false,0
employe_prive,81:100,true,0
enseignant,0:15,false,0
enseignant,0:15,true,0
enseignant,16:20,false,0
enseignant,16:20,true,0
enseignant,21:25,false,0
enseignant,21:25,true,0
enseignant,26:30,false,0
enseignant,26:30,true,0
enseignant,31:50,false,0
enseignant,31:50,true,0
enseignant,51:60,false,0
enseignant,51:60,true,0
enseignant,61:75,false,2
enseignant,61:75,true,1
enseignant,76:80,false,0
enseignant,76:80,true,10
enseignant,81:100,false,0
enseignant,81:100,true,0
militaire,0:15,false,0
militaire,0:15,true,0
militaire,16:20,false,0
militaire,16:20,true,0
militaire,21:25,false,0
militaire,21:25,true,0
militaire,26:30,false,0
militaire,26:30,true,0
militaire,31:50,false,0
militaire,31:50,true,2
militaire,51:60,false,0
militaire,51:60,true,0
militaire,61:75,false,0
militaire,61:75,true,0
militaire,76:80,false,0
militaire,76:80,true,0
militaire,81:100,false,0
militaire,81:100,true,0
ouvrier,0:15,false,0
ouvrier,0:15,true,0
ouvrier,16:20,false,6
ouvrier,16:20,true,7
ouvrier,21:25,false,8
ouvrier,21:25,true,17
ouvrier,26:30,false,7
ouvrier,26:30,true,5
ouvrier,31:50,false,1
ouvrier,31:50,true,4
ouvrier,51:60,false,0
ouvrier,51:60,true,0
ouvrier,61:75,false,0
ouvrier,61:75,true,0
ouvrier,76:80,false,0
ouvrier,76:80,true,0
ouvrier,81:100,false,0
ouvrier,81:100,true,0
ouvrier_agricole,0:15,false,0
ouvrier_agricole,0:15,true,0
ouvrier_agricole,16:20,false,0
ouvrier_agricole,16:20,true,0
ouvrier_agricole,21:25,false,0
ouvrier_agricole,21:25,true,0
ouvrier_agricole,26:30,false,0
ouvrier_agricole,26:30,true,0
ouvrier_agricole,31:50,false,1
ouvrier_agricole,31:50,true,0
ouvrier_agricole,51:60,false,0
ouvrier_agricole,51:60,true,0
ouvrier_agricole,61:75,false,0
ouvrier_agricole,61:75,true,0
ouvrier_agricole,76:80,false,0
ouvrier_agricole,76:80,true,0
ouvrier_agricole,81:100,false,0
ouvrier_agricole,81:100,true,0
ouvrier_batiment,0:15,false,0
ouvrier_batiment,0:15,true,0
ouvrier_batiment,16:20,false,6
ouvrier_batiment,16:20,true,4
ouvrier_batiment,21:25,false,0
ouvrier_batiment,21:25,true,0
ouvrier_batiment,26:30,false,2
ouvrier_batiment,26:30,true,2
ouvrier_batiment,31:50,false,2
ouvrier_batiment,31:50,true,1
ouvrier_batiment,51:60,false,0
ouvrier_batiment,51:60,true,0
ouvrier_batiment,61:75,false,0
ouvrier_batiment,61:75,true,0
ouvrier_batiment,76:80,false,0
ouvrier_batiment,76:80,true,0
ouvrier_batiment,81:100,false,0
ouvrier_batiment,81:100,true,0
retraite,0:15,false,0
retraite,0:15,true,0
retraite,16:20,false,0
retraite,16:20,true,0
retraite,21:25,false,0
retraite,21:25,true,0
retraite,26:30,false,0
retraite,26:30,true,0
retraite,31:50,false,2
retraite,31:50,true,1
retraite,51:60,false,0
retraite,51:60,true,0
retraite,61:75,false,0
retraite,61:75,true,0
retraite,76:80,false,0
retraite,76:80,true,0
retraite,81:100,false,0
retraite,81:100,true,0
sans_activite,0:15,false,6
sans_activite,0:15,true,5
sans_activite,16:20,false,3
sans_activite,16:20,true,2
sans_activite,21:25,false,4
sans_activite,21:25,true,2
sans_activite,26:30,false,2
sans_activite,26:30,true,4
sans_activite,31:50,false,1
sans_activite,31:50,true,1
sans_activite,51:60,false,6
sans_activite,51:60,true,2
sans_activite,61:75,false,11
sans_activite,61:75,true,8
sans_activite,76:80,false,0
sans_activite,76:80,true,5
sans_activite,81:100,false,9
sans_activite,81:100,true,20
