HouseholdSize:Input,Household Income:Input,Household Type:Output,Number Of Cars:Output,Frequency
1,High,type1,0,47
1,High,type1,1,92
1,High,type1,2,34
1,High,type1,3,97
1,High,type2,0,58
1,High,type2,1,21
1,High,type2,2,50
1,High,type2,3,37
1,High,type3,0,90
1,High,type3,1,38
1,High,type3,2,5
1,High,type3,3,16
1,Low,type1,0,74
1,Low,type1,1,64
1,Low,type1,2,37
1,Low,type1,3,8
1,Low,type2,0,80
1,Low,type2,1,95
1,Low,type2,2,90
1,Low,type2,3,47
1,Low,type3,0,89
1,Low,type3,1,75
1,Low,type3,2,42
1,Low,type3,3,6
2,High,type1,0,86
2,High,type1,1,25
2,High,type1,2,84
2,High,type1,3,54
2,High,type2,0,37
2,High,type2,1,78
2,High,type2,2,67
2,High,type2,3,83
2,High,type3,0,66
2,High,type3,1,73
2,High,type3,2,74
2,High,type3,3,32
2,Low,type1,0,75
2,Low,type1,1,7
2,Low,type1,2,11
2,Low,type1,3,87
2,Low,type2,0,46
2,Low,type2,1,85
2,Low,type2,2,14
2,Low,type2,3,87
2,Low,type3,0,45
2,Low,type3,1,85
2,Low,type3,2,29
2,Low,type3,3,56
3,High,type1,0,55
3,High,type1,1,8
3,High,type1,2,10
3,High,type1,3,63
3,High,type2,0,75
3,High,type2,1,47
3,High,type2,2,55
3,High,type2,3,23
3,High,type3,0,47
3,High,type3,1,85
3,High,type3,2,84
3,High,type3,3,79
3,Low,type1,0,7
3,Low,type1,1,84
3,Low,type1,2,29
3,Low,type1,3,73
3,Low,type2,0,70
3,Low,type2,1,90
3,Low,type2,2,98
3,Low,type2,3,90
3,Low,type3,0,93
3,Low,type3,1,7
3,Low,type3,2,70
3,Low,type3,3,21
