HouseholdSize:Output,Household Income:Output,Household Type:Output,Number Of Cars:Output,Frequency,Generated Frequency
1,High,type1,0,47,39
1,High,type1,1,92,87
1,High,type1,2,34,28
1,High,type1,3,97,82
1,High,type2,0,58,46
1,High,type2,1,21,20
1,High,type2,2,50,40
1,High,type2,3,37,34
1,High,type3,0,90,83
1,High,type3,1,38,36
1,High,type3,2,5,8
1,High,type3,3,16,16
1,Low,type1,0,74,64
1,Low,type1,1,64,58
1,Low,type1,2,37,43
1,Low,type1,3,8,6
1,Low,type2,0,80,73
1,Low,type2,1,95,82
1,Low,type2,2,90,77
1,Low,type2,3,47,50
1,Low,type3,0,89,75
1,Low,type3,1,75,75
1,Low,type3,2,42,43
1,Low,type3,3,6,4
2,High,type1,0,86,70
2,High,type1,1,25,19
2,High,type1,2,84,83
2,High,type1,3,54,43
2,High,type2,0,37,41
2,High,type2,1,78,86
2,High,type2,2,67,67
2,High,type2,3,83,83
2,High,type3,0,66,57
2,High,type3,1,73,68
2,High,type3,2,74,66
2,High,type3,3,32,26
2,Low,type1,0,75,55
2,Low,type1,1,7,6
2,Low,type1,2,11,12
2,Low,type1,3,87,74
2,Low,type2,0,46,45
2,Low,type2,1,85,66
2,Low,type2,2,14,15
2,Low,type2,3,87,84
2,Low,type3,0,45,25
2,Low,type3,1,85,78
2,Low,type3,2,29,23
2,Low,type3,3,56,42
3,High,type1,0,55,69
3,High,type1,1,8,11
3,High,type1,2,10,13
3,High,type1,3,63,48
3,High,type2,0,75,69
3,High,type2,1,47,42
3,High,type2,2,55,46
3,High,type2,3,23,23
3,High,type3,0,47,32
3,High,type3,1,85,72
3,High,type3,2,84,66
3,High,type3,3,79,80
3,Low,type1,0,7,4
3,Low,type1,1,84,82
3,Low,type1,2,29,33
3,Low,type1,3,73,61
3,Low,type2,0,70,60
3,Low,type2,1,90,84
3,Low,type2,2,98,89
3,Low,type2,3,90,92
3,Low,type3,0,93,84
3,Low,type3,1,7,5
3,Low,type3,2,70,54
3,Low,type3,3,21,20
