HouseholdSize:Input,Household Income:Input,Household Type:Output,Number Of Cars:Output,Frequency,Generated Frequency
1,High,type1,0,47,42
1,High,type1,1,92,88
1,High,type1,2,34,36
1,High,type1,3,97,96
1,High,type2,0,58,52
1,High,type2,1,21,16
1,High,type2,2,50,52
1,High,type2,3,37,29
1,High,type3,0,90,82
1,High,type3,1,38,43
1,High,type3,2,5,2
1,High,type3,3,16,8
1,Low,type1,0,74,67
1,Low,type1,1,64,51
1,Low,type1,2,37,27
1,Low,type1,3,8,8
1,Low,type2,0,80,57
1,Low,type2,1,95,74
1,Low,type2,2,90,79
1,Low,type2,3,47,49
1,Low,type3,0,89,72
1,Low,type3,1,75,70
1,Low,type3,2,42,39
1,Low,type3,3,6,3
2,High,type1,0,86,69
2,High,type1,1,25,18
2,High,type1,2,84,70
2,High,type1,3,54,47
2,High,type2,0,37,30
2,High,type2,1,78,71
2,High,type2,2,67,69
2,High,type2,3,83,98
2,High,type3,0,66,57
2,High,type3,1,73,65
2,High,type3,2,74,68
2,High,type3,3,32,38
2,Low,type1,0,75,67
2,Low,type1,1,7,10
2,Low,type1,2,11,12
2,Low,type1,3,87,79
2,Low,type2,0,46,36
2,Low,type2,1,85,72
2,Low,type2,2,14,17
2,Low,type2,3,87,81
2,Low,type3,0,45,46
2,Low,type3,1,85,69
2,Low,type3,2,29,19
2,Low,type3,3,56,43
3,High,type1,0,55,46
3,High,type1,1,8,3
3,High,type1,2,10,8
3,High,type1,3,63,63
3,High,type2,0,75,67
3,High,type2,1,47,41
3,High,type2,2,55,42
3,High,type2,3,23,22
3,High,type3,0,47,48
3,High,type3,1,85,81
3,High,type3,2,84,74
3,High,type3,3,79,70
3,Low,type1,0,7,7
3,Low,type1,1,84,79
3,Low,type1,2,29,32
3,Low,type1,3,73,84
3,Low,type2,0,70,60
3,Low,type2,1,90,76
3,Low,type2,2,98,89
3,Low,type2,3,90,81
3,Low,type3,0,93,80
3,Low,type3,1,7,9
3,Low,type3,2,70,63
3,Low,type3,3,21,24
