HouseholdSize:Input,Household Income:Input,Household Type:Input,Number Of Cars:Output,Frequency,Generated Frequency
1,High,type1,0,47,41
1,High,type1,1,92,72
1,High,type1,2,34,37
1,High,type1,3,97,93
1,High,type2,0,58,46
1,High,type2,1,21,16
1,High,type2,2,50,52
1,High,type2,3,37,34
1,High,type3,0,90,78
1,High,type3,1,38,49
1,High,type3,2,5,6
1,High,type3,3,16,18
1,Low,type1,0,74,68
1,Low,type1,1,64,50
1,Low,type1,2,37,31
1,Low,type1,3,8,12
1,Low,type2,0,80,73
1,Low,type2,1,95,93
1,Low,type2,2,90,82
1,Low,type2,3,47,36
1,Low,type3,0,89,73
1,Low,type3,1,75,63
1,Low,type3,2,42,33
1,Low,type3,3,6,4
2,High,type1,0,86,67
2,High,type1,1,25,22
2,High,type1,2,84,81
2,High,type1,3,54,42
2,High,type2,0,37,25
2,High,type2,1,78,84
2,High,type2,2,67,73
2,High,type2,3,83,82
2,High,type3,0,66,85
2,High,type3,1,73,61
2,High,type3,2,74,56
2,High,type3,3,32,25
2,Low,type1,0,75,70
2,Low,type1,1,7,9
2,Low,type1,2,11,5
2,Low,type1,3,87,77
2,Low,type2,0,46,45
2,Low,type2,1,85,66
2,Low,type2,2,14,15
2,Low,type2,3,87,71
2,Low,type3,0,45,39
2,Low,type3,1,85,89
2,Low,type3,2,29,25
2,Low,type3,3,56,41
3,High,type1,0,55,52
3,High,type1,1,8,9
3,High,type1,2,10,12
3,High,type1,3,63,60
3,High,type2,0,75,69
3,High,type2,1,47,35
3,High,type2,2,55,49
3,High,type2,3,23,14
3,High,type3,0,47,43
3,High,type3,1,85,86
3,High,type3,2,84,71
3,High,type3,3,79,69
3,Low,type1,0,7,6
3,Low,type1,1,84,81
3,Low,type1,2,29,22
3,Low,type1,3,73,69
3,Low,type2,0,70,62
3,Low,type2,1,90,81
3,Low,type2,2,98,98
3,Low,type2,3,90,79
3,Low,type3,0,93,78
3,Low,type3,1,7,6
3,Low,type3,2,70,62
3,Low,type3,3,21,14
