HouseholdSize:Output,Household Income:Output,Household Type:Output,Number Of Cars:Output,Frequency
1,High,type1,0,95
1,High,type1,1,21
1,High,type1,2,20
1,High,type1,3,67
1,High,type2,0,94
1,High,type2,1,74
1,High,type2,2,82
1,High,type2,3,90
1,High,type3,0,34
1,High,type3,1,66
1,High,type3,2,29
1,High,type3,3,61
1,Low,type1,0,7
1,Low,type1,1,92
1,Low,type1,2,20
1,Low,type1,3,61
1,Low,type2,0,59
1,Low,type2,1,62
1,Low,type2,2,69
1,Low,type2,3,36
1,Low,type3,0,52
1,Low,type3,1,5
1,Low,type3,2,27
1,Low,type3,3,22
2,High,type1,0,40
2,High,type1,1,44
2,High,type1,2,92
2,High,type1,3,37
2,High,type2,0,30
2,High,type2,1,24
2,High,type2,2,45
2,High,type2,3,92
2,High,type3,0,46
2,High,type3,1,46
2,High,type3,2,30
2,High,type3,3,85
2,Low,type1,0,30
2,Low,type1,1,8
2,Low,type1,2,19
2,Low,type1,3,79
2,Low,type2,0,46
2,Low,type2,1,47
2,Low,type2,2,46
2,Low,type2,3,96
2,Low,type3,0,21
2,Low,type3,1,44
2,Low,type3,2,72
2,Low,type3,3,9
3,High,type1,0,49
3,High,type1,1,29
3,High,type1,2,22
3,High,type1,3,55
3,High,type2,0,38
3,High,type2,1,60
3,High,type2,2,96
3,High,type2,3,32
3,High,type3,0,86
3,High,type3,1,15
3,High,type3,2,49
3,High,type3,3,73
3,Low,type1,0,70
3,Low,type1,1,42
3,Low,type1,2,92
3,Low,type1,3,20
3,Low,type2,0,71
3,Low,type2,1,55
3,Low,type2,2,88
3,Low,type2,3,56
3,Low,type3,0,44
3,Low,type3,1,6
3,Low,type3,2,59
3,Low,type3,3,63
