householdID,householdSize,householdIncome,householdType,numberOfCars
0,2,Low,type3,0
1,1,Low,type3,0
2,1,High,type2,2
3,1,Low,type2,0
4,3,Low,type1,1
5,2,Low,type1,3
6,1,Low,type2,3
7,1,Low,type2,3
8,2,High,type1,2
9,3,High,type3,2
10,2,High,type2,2
11,3,High,type1,3
12,3,High,type3,0
13,2,Low,type3,2
14,2,Low,type1,0
15,3,High,type1,3
16,3,Low,type2,0
17,3,Low,type2,0
18,2,Low,type2,3
19,1,High,type1,0
20,2,High,type1,2
21,2,Low,type3,2
22,1,High,type1,1
23,1,High,type3,2
24,2,Low,type2,1
25,3,High,type3,0
26,3,High,type3,0
27,2,Low,type2,3
28,3,High,type2,0
29,3,High,type3,1
30,1,High,type3,0
31,2,Low,type2,1
32,2,High,type1,3
33,1,Low,type2,1
34,1,High,type1,0
35,2,Low,type3,2
36,3,Low,type2,0
37,3,High,type3,0
38,3,Low,type1,0
39,3,High,type3,3
40,1,Low,type3,3
41,3,Low,type2,3
42,1,Low,type3,0
43,1,Low,type2,0
44,3,High,type2,1
45,3,Low,type1,3
46,1,Low,type1,1
47,3,High,type2,2
48,3,Low,type1,2
49,2,Low,type3,2
50,2,Low,type3,2
51,2,Low,type2,3
52,1,Low,type1,3
53,3,High,type2,3
54,2,Low,type2,3
55,2,Low,type2,3
56,2,Low,type3,1
57,3,Low,type3,2
58,2,High,type1,2
59,3,Low,type3,3
60,1,Low,type2,3
61,3,High,type3,3
62,2,Low,type2,3
63,2,High,type2,0
64,1,High,type2,2
65,3,High,type2,2
66,3,High,type2,2
67,1,Low,type3,1
68,1,High,type2,1
69,1,Low,type3,0
70,2,High,type2,3
71,1,High,type1,3
