householdID,householdSize,householdIncome,householdType,numberOfCars
54,1,High,type1,2
36,1,High,type1,1
41,1,High,type1,3
51,1,High,type1,2
40,1,High,type1,3
36,1,High,type1,1
36,1,High,type1,1
36,1,High,type1,1
14,1,High,type1,3
18,1,High,type1,1
51,1,High,type1,2
41,1,High,type1,3
14,1,High,type1,3
40,1,High,type1,3
51,1,High,type1,2
18,1,High,type1,1
14,1,High,type1,3
51,1,High,type1,2
30,1,High,type1,1
41,1,High,type1,3
40,1,High,type1,3
18,1,High,type1,1
51,1,High,type1,2
36,1,High,type1,1
18,1,High,type1,1
51,1,High,type1,2
14,1,High,type1,3
40,1,High,type1,3
36,1,High,type1,1
40,1,High,type1,3
40,1,High,type1,3
14,1,High,type1,3
18,1,High,type1,1
18,1,High,type1,1
14,1,High,type1,3
30,1,High,type1,1
40,1,High,type1,3
51,1,High,type1,2
18,1,High,type1,1
18,1,High,type1,1
54,1,High,type1,2
18,1,High,type1,1
14,1,High,type1,3
18,1,High,type1,1
14,1,High,type1,3
51,1,High,type1,2
40,1,High,type1,3
18,1,High,type1,1
54,1,High,type1,2
51,1,High,type1,2
51,1,High,type1,2
18,1,High,type1,1
54,1,High,type1,2
14,1,High,type1,3
30,1,High,type1,1
54,1,High,type1,2
14,1,High,type1,3
41,1,High,type1,3
51,1,High,type1,2
41,1,High,type1,3
30,1,High,type1,1
51,1,High,type1,2
51,1,High,type1,2
51,1,High,type1,2
51,1,High,type1,2
54,1,High,type1,2
18,1,High,type1,1
54,1,High,type1,2
36,1,High,type1,1
40,1,High,type1,3
54,1,High,type1,2
14,1,High,type1,3
36,1,High,type1,1
51,1,High,type1,2
18,1,High,type1,1
54,1,High,type1,2
54,1,High,type1,2
30,1,High,type1,1
54,1,High,type1,2
14,1,High,type1,3
54,1,High,type1,2
41,1,High,type1,3
51,1,High,type1,2
51,1,High,type1,2
18,1,High,type1,1
40,1,High,type1,3
40,1,High,type1,3
41,1,High,type1,3
40,1,High,type1,3
18,1,High,type1,1
51,1,High,type1,2
41,1,High,type1,3
54,1,High,type1,2
41,1,High,type1,3
18,1,High,type1,1
54,1,High,type1,2
54,1,High,type1,2
30,1,High,type1,1
51,1,High,type1,2
41,1,High,type1,3
36,1,High,type1,1
36,1,High,type1,1
36,1,High,type1,1
54,1,High,type1,2
40,1,High,type1,3
30,1,High,type1,1
51,1,High,type1,2
30,1,High,type1,1
51,1,High,type1,2
41,1,High,type1,3
18,1,High,type1,1
18,1,High,type1,1
51,1,High,type1,2
51,1,High,type1,2
14,1,High,type1,3
51,1,High,type1,2
41,1,High,type1,3
36,1,High,type1,1
51,1,High,type1,2
36,1,High,type1,1
54,1,High,type1,2
30,1,High,type1,1
30,1,High,type1,1
51,1,High,type1,2
14,1,High,type1,3
18,1,High,type1,1
54,1,High,type1,2
14,1,High,type1,3
51,1,High,type1,2
54,1,High,type1,2
41,1,High,type1,3
51,1,High,type1,2
30,1,High,type1,1
14,1,High,type1,3
54,1,High,type1,2
51,1,High,type1,2
30,1,High,type1,1
51,1,High,type1,2
41,1,High,type1,3
14,1,High,type1,3
18,1,High,type1,1
41,1,High,type1,3
40,1,High,type1,3
18,1,High,type1,1
51,1,High,type1,2
41,1,High,type1,3
18,1,High,type1,1
41,1,High,type1,3
30,1,High,type1,1
40,1,High,type1,3
54,1,High,type1,2
14,1,High,type1,3
14,1,High,type1,3
41,1,High,type1,3
14,1,High,type1,3
36,1,High,type1,1
51,1,High,type1,2
54,1,High,type1,2
41,1,High,type1,3
14,1,High,type1,3
54,1,High,type1,2
54,1,High,type1,2
14,1,High,type1,3
36,1,High,type1,1
18,1,High,type1,1
14,1,High,type1,3
40,1,High,type1,3
18,1,High,type1,1
41,1,High,type1,3
40,1,High,type1,3
30,1,High,type1,1
54,1,High,type1,2
54,1,High,type1,2
36,1,High,type1,1
36,1,High,type1,1
54,1,High,type1,2
14,1,High,type1,3
36,1,High,type1,1
54,1,High,type1,2
18,1,High,type1,1
14,1,High,type1,3
30,1,High,type1,1
51,1,High,type1,2
36,1,High,type1,1
30,1,High,type1,1
40,1,High,type1,3
30,1,High,type1,1
40,1,High,type1,3
30,1,High,type1,1
40,1,High,type1,3
41,1,High,type1,3
41,1,High,type1,3
36,1,High,type1,1
14,1,High,type1,3
14,1,High,type1,3
54,1,High,type1,2
18,1,High,type1,1
14,1,High,type1,3
51,1,High,type1,2
41,1,High,type1,3
40,1,High,type1,3
18,1,High,type1,1
18,1,High,type1,1
40,1,High,type1,3
51,1,High,type1,2
18,1,High,type1,1
40,1,High,type1,3
40,1,High,type1,3
51,1,High,type1,2
30,1,High,type1,1
54,1,High,type1,2
14,1,High,type1,3
18,1,High,type1,1
