householdID,householdSize,householdIncome,householdType,numberOfCars
0,3,High,type1,0
1,2,Low,type2,0
2,3,High,type3,3
3,1,Low,type2,1
4,3,Low,type2,0
5,2,High,type3,2
6,2,Low,type2,1
7,2,Low,type3,1
8,1,High,type1,2
9,1,Low,type2,3
10,1,High,type2,0
11,3,Low,type3,0
12,1,Low,type3,1
13,3,High,type1,2
14,3,High,type3,1
15,1,High,type3,2
16,2,Low,type3,0
17,2,Low,type1,2
18,1,Low,type3,0
19,1,High,type1,3
20,1,High,type2,2
21,2,High,type1,2
22,2,High,type2,0
23,1,High,type1,1
24,2,Low,type1,3
25,1,Low,type1,1
26,1,Low,type2,0
27,3,Low,type1,2
28,2,High,type2,3
29,3,Low,type3,2
30,2,High,type3,1
31,2,High,type2,1
32,3,Low,type1,1
33,2,High,type3,3
34,3,High,type3,2
35,1,Low,type3,2
36,1,High,type2,1
37,1,High,type3,1
38,2,Low,type1,1
39,3,High,type3,0
40,2,High,type2,2
41,2,High,type1,0
42,3,Low,type2,1
43,3,High,type2,1
44,2,High,type3,0
45,2,Low,type3,2
46,3,High,type1,1
47,3,High,type2,3
48,3,Low,type2,2
49,3,High,type2,0
50,3,Low,type2,3
51,3,Low,type1,0
52,3,High,type1,3
53,1,High,type3,3
54,2,Low,type3,3
55,3,Low,type3,1
56,2,Low,type1,0
57,1,High,type1,0
58,1,Low,type2,2
59,2,High,type1,1
60,1,Low,type1,2
61,1,Low,type1,3
62,3,Low,type1,3
63,3,High,type2,2
64,1,Low,type3,3
65,2,Low,type2,2
66,2,High,type1,3
67,1,High,type2,3
68,2,Low,type2,3
69,1,Low,type1,0
70,1,High,type3,0
71,3,Low,type3,3
