householdID,householdSize,householdIncome,householdType,numberOfCars
0,3,Low,type2,0
1,3,Low,type2,0
2,3,Low,type2,0
3,3,Low,type2,0
4,3,Low,type2,0
5,3,Low,type2,0
6,3,Low,type2,0
7,3,Low,type2,0
8,3,Low,type2,0
9,3,Low,type2,0
10,3,Low,type2,0
11,3,Low,type2,0
12,1,Low,type2,0
13,1,Low,type2,0
14,1,Low,type2,0
15,1,Low,type2,0
16,1,Low,type2,0
17,1,Low,type2,0
18,1,Low,type2,0
19,1,Low,type2,0
20,1,Low,type2,0
21,1,Low,type2,0
22,1,Low,type2,0
23,1,Low,type2,0
24,1,Low,type2,0
25,1,Low,type2,0
26,1,Low,type2,0
27,1,Low,type2,0
28,1,Low,type2,0
29,1,Low,type2,0
30,1,Low,type2,0
31,1,Low,type2,0
32,1,Low,type2,0
33,1,Low,type2,0
34,1,Low,type2,0
35,1,Low,type2,0
36,1,Low,type2,0
37,1,Low,type2,0
38,1,Low,type2,0
39,1,Low,type2,0
40,1,Low,type2,0
41,1,Low,type2,0
42,1,Low,type2,0
43,1,Low,type2,0
44,1,Low,type2,0
45,1,Low,type2,0
46,1,Low,type2,0
47,1,Low,type2,0
48,1,Low,type2,0
49,1,Low,type2,0
50,1,Low,type2,0
51,1,High,type2,3
52,1,High,type2,3
53,1,High,type2,3
54,1,High,type2,3
55,1,High,type2,3
56,1,High,type2,3
57,1,High,type2,3
58,1,High,type2,3
59,1,High,type2,3
60,1,High,type2,3
61,1,High,type2,3
62,1,High,type2,3
63,1,High,type2,3
64,1,High,type2,3
65,1,High,type2,3
66,1,High,type2,3
67,1,High,type2,3
68,1,High,type2,3
69,1,High,type2,3
70,1,High,type2,3
71,1,High,type2,3
72,1,High,type2,3
73,1,High,type2,3
74,1,High,type2,3
75,1,High,type2,3
76,1,High,type2,3
77,1,High,type2,3
78,1,High,type2,3
79,1,High,type2,3
80,1,High,type2,3
81,1,High,type2,3
82,1,High,type2,3
83,1,High,type2,3
84,1,High,type2,3
85,1,High,type2,3
86,1,High,type2,3
87,1,High,type2,3
88,1,High,type2,3
