householdSize,householdIncome,householdType
1,High,type1
1,High,type1
1,High,type1
1,High,type1
1,High,type1
1,High,type1
1,High,type1
1,High,type1
1,High,type1
1,High,type1
1,High,type1
1,High,type1
1,High,type1
1,High,type1
1,High,type1
2,High,type1
2,High,type1
2,High,type1
2,High,type1
2,High,type1
2,High,type1
2,High,type1
2,High,type1
2,High,type1
2,High,type1
2,High,type1
2,High,type1
2,High,type1
2,High,type1
2,High,type1
1,High,type2
1,High,type2
1,High,type2
1,High,type2
1,High,type2
1,High,type2
1,High,type2
1,High,type2
1,High,type2
1,High,type2
1,High,type2
1,High,type2
1,High,type2
1,High,type2
1,High,type2
2,High,type2
2,High,type2
2,High,type2
2,High,type2
2,High,type2
2,High,type2
2,High,type2
2,High,type2
2,High,type2
2,High,type2
2,High,type2
2,High,type2
2,High,type2
2,High,type2
2,High,type2
1,Low,type1
1,Low,type1
1,Low,type1
1,Low,type1
1,Low,type1
1,Low,type1
1,Low,type1
1,Low,type1
1,Low,type1
1,Low,type1
1,Low,type1
1,Low,type1
1,Low,type1
1,Low,type1
1,Low,type1
2,Low,type1
2,Low,type1
2,Low,type1
2,Low,type1
2,Low,type1
2,Low,type1
2,Low,type1
2,Low,type1
2,Low,type1
2,Low,type1
2,Low,type1
2,Low,type1
2,Low,type1
2,Low,type1
2,Low,type1
1,Low,type2
1,Low,type2
1,Low,type2
1,Low,type2
1,Low,type2
1,Low,type2
1,Low,type2
1,Low,type2
1,Low,type2
1,Low,type2
1,Low,type2
1,Low,type2
1,Low,type2
1,Low,type2
1,Low,type2
2,Low,type2
2,Low,type2
2,Low,type2
2,Low,type2
2,Low,type2
2,Low,type2
2,Low,type2
2,Low,type2
2,Low,type2
2,Low,type2
2,Low,type2
2,Low,type2
2,Low,type2
2,Low,type2
2,Low,type2
