householdID,householdSize,householdIncome,householdType,numberOfCars
0,1,High,type1,0
1,1,High,type1,0
2,1,High,type1,0
3,1,High,type1,0
4,1,High,type1,0
5,1,High,type1,0
6,1,High,type1,0
7,1,High,type1,0
8,1,High,type1,0
9,1,High,type1,0
10,1,High,type1,0
11,1,High,type1,0
12,1,High,type1,0
13,1,High,type1,0
14,1,High,type1,0
15,1,High,type1,0
16,1,High,type1,0
17,1,High,type1,0
18,1,High,type1,0
19,1,High,type1,0
20,1,High,type1,0
21,1,High,type1,0
22,1,High,type1,0
23,1,High,type1,0
24,1,High,type1,0
25,1,High,type1,0
26,1,High,type1,0
27,1,High,type1,0
28,1,High,type1,0
29,1,High,type1,0
30,1,High,type1,0
31,1,High,type1,0
32,1,High,type1,0
33,1,High,type1,0
34,1,High,type1,0
35,1,High,type1,0
36,1,High,type1,0
37,1,High,type1,0
38,1,High,type1,0
39,1,High,type1,0
40,1,High,type1,0
41,1,High,type1,0
42,1,High,type1,0
43,1,High,type1,0
44,1,High,type1,0
45,1,High,type1,0
46,1,High,type1,0
47,1,High,type1,0
48,1,High,type1,0
49,1,High,type1,0
50,1,High,type1,0
51,1,High,type1,0
52,1,High,type1,0
53,1,High,type1,0
54,1,High,type1,0
55,1,High,type1,0
56,1,High,type1,0
57,1,High,type1,0
58,1,High,type1,0
59,1,High,type1,0
60,1,High,type1,0
61,1,High,type1,0
62,1,High,type1,0
63,1,High,type1,0
64,1,High,type1,0
65,1,High,type1,0
66,1,High,type1,0
67,1,High,type1,0
68,1,High,type1,0
69,1,High,type1,0
70,1,High,type1,0
71,1,High,type1,0
72,1,High,type1,0
73,1,High,type1,0
74,1,High,type1,0
75,1,High,type1,0
76,1,High,type1,0
77,1,High,type1,0
78,1,High,type1,0
79,1,High,type1,0
80,1,High,type1,0
81,1,High,type1,0
82,1,High,type1,0
83,1,High,type1,0
84,1,High,type1,0
85,1,High,type1,0
86,1,High,type1,0
87,1,High,type1,0
88,1,High,type1,0
89,1,High,type1,0
90,1,High,type1,0
91,1,High,type1,0
92,1,High,type1,0
93,1,High,type1,0
94,1,High,type1,0
95,1,High,type2,0
96,1,High,type2,0
97,1,High,type2,0
98,1,High,type2,0
99,1,High,type2,0
100,1,High,type2,0
101,1,High,type2,0
102,1,High,type2,0
103,1,High,type2,0
104,1,High,type2,0
105,1,High,type2,0
106,1,High,type2,0
107,1,High,type2,0
108,1,High,type2,0
109,1,High,type2,0
110,1,High,type2,0
111,1,High,type2,0
112,1,High,type2,0
113,1,High,type2,0
114,1,High,type2,0
115,1,High,type2,0
116,1,High,type2,0
117,1,High,type2,0
118,1,High,type2,0
119,1,High,type2,0
120,1,High,type2,0
121,1,High,type2,0
122,1,High,type2,0
123,1,High,type2,0
124,1,High,type2,0
125,1,High,type2,0
126,1,High,type2,0
127,1,High,type2,0
128,1,High,type2,0
129,1,High,type2,0
130,1,High,type2,0
131,1,High,type2,0
132,1,High,type2,0
133,1,High,type2,0
134,1,High,type2,0
