Category:Output,Age:Output,Frequency
0,0:4,0
1,0:4,0
2,0:4,0
3,0:4,0
4,0:4,0
5,0:4,0
6,0:4,0
7,0:4,0
0,5:17,0
1,5:17,7
2,5:17,6
3,5:17,0
4,5:17,12
5,5:17,0
6,5:17,2617
7,5:17,0
0,18:24,0
1,18:24,63
2,18:24,95
3,18:24,0
4,18:24,1019
5,18:24,0
6,18:24,0
7,18:24,0
0,25:34,1111
1,25:34,195
2,25:34,128
3,25:34,0
4,25:34,86
5,25:34,3
6,25:34,9
7,25:34,0
0,35:49,2378
1,35:49,549
2,35:49,177
3,35:49,0
4,35:49,19
5,35:49,5
6,35:49,10
7,35:49,0
0,50:64,0
1,50:64,340
2,50:64,110
3,50:64,2435
4,50:64,16
5,50:64,0
6,50:64,2
7,50:64,0
0,65:100,2
1,65:100,10
2,65:100,1
3,65:100,0
4,65:100,1
5,65:100,1932
6,65:100,0
7,65:100,0
