Category:Input,Zone:Output,Frequency
0,101,37
1,101,10
2,101,6
3,101,29
4,101,22
5,101,18
6,101,19
7,101,0
0,102,33
1,102,9
2,102,7
3,102,22
4,102,33
5,102,14
6,102,18
7,102,0
0,103,33
1,103,9
2,103,5
3,103,17
4,103,26
5,103,38
6,103,20
7,103,0
0,104,33
1,104,6
2,104,4
3,104,14
4,104,27
5,104,26
6,104,15
7,104,0
0,105,48
1,105,20
2,105,6
3,105,13
4,105,31
5,105,14
6,105,8
7,105,0
0,106,54
1,106,17
2,106,12
3,106,21
4,106,37
5,106,7
6,106,17
7,106,0
0,107,32
1,107,8
2,107,1
3,107,19
4,107,32
5,107,23
6,107,13
7,107,0
0,108,37
1,108,6
2,108,7
3,108,13
4,108,23
5,108,22
6,108,17
7,108,0
0,109,22
1,109,11
2,109,8
3,109,14
4,109,31
5,109,27
6,109,25
7,109,0
0,110,33
1,110,13
2,110,5
3,110,18
4,110,23
5,110,30
6,110,19
7,110,0
0,111,21
1,111,20
2,111,9
3,111,28
4,111,16
5,111,11
6,111,32
7,111,0
0,112,41
1,112,14
2,112,7
3,112,18
4,112,21
5,112,17
6,112,33
7,112,0
0,113,38
1,113,14
2,113,2
3,113,19
4,113,19
5,113,17
6,113,16
7,113,0
0,114,19
1,114,20
2,114,19
3,114,16
4,114,13
5,114,17
6,114,35
7,114,0
0,115,28
1,115,9
2,115,2
3,115,31
4,115,5
5,115,30
6,115,23
7,115,0
0,116,38
1,116,9
2,116,5
3,116,22
4,116,8
5,116,25
6,116,27
7,116,0
0,117,38
1,117,7
2,117,7
3,117,31
4,117,11
5,117,15
6,117,22
7,117,0
0,118,36
1,118,7
2,118,7
3,118,24
4,118,10
5,118,19
6,118,26
7,118,0
0,119,31
1,119,11
2,119,2
3,119,23
4,119,25
5,119,28
6,119,21
7,119,0
0,120,29
1,120,9
2,120,2
3,120,39
4,120,6
5,120,33
6,120,15
7,120,0
0,121,42
1,121,5
2,121,2
3,121,16
4,121,28
5,121,23
6,121,18
7,121,0
0,122,39
1,122,10
2,122,3
3,122,22
4,122,133
5,122,18
6,122,18
7,122,0
0,123,31
1,123,7
2,123,9
3,123,20
4,123,22
5,123,18
6,123,19
7,123,0
0,124,45
1,124,18
2,124,5
3,124,16
4,124,13
5,124,9
6,124,27
7,124,0
0,125,48
1,125,14
2,125,12
3,125,19
4,125,18
5,125,7
6,125,47
7,125,0
0,126,44
1,126,8
2,126,4
3,126,13
4,126,16
5,126,18
6,126,22
7,126,0
0,127,37
1,127,12
2,127,5
3,127,17
4,127,13
5,127,28
6,127,20
7,127,0
0,128,33
1,128,15
2,128,3
3,128,28
4,128,12
5,128,21
6,128,28
7,128,0
0,129,38
1,129,16
2,129,5
3,129,11
4,129,5
5,129,26
6,129,31
7,129,0
0,130,42
1,130,9
2,130,8
3,130,22
4,130,5
5,130,17
6,130,34
7,130,0
0,131,39
1,131,10
2,131,5
3,131,17
4,131,9
5,131,26
6,131,23
7,131,0
0,132,26
1,132,11
2,132,14
3,132,23
4,132,6
5,132,49
6,132,19
7,132,0
0,133,34
1,133,16
2,133,3
3,133,36
4,133,4
5,133,22
6,133,29
7,133,0
0,134,44
1,134,10
2,134,3
3,134,23
4,134,6
5,134,11
6,134,31
7,134,0
0,135,40
1,135,12
2,135,6
3,135,28
4,135,12
5,135,20
6,135,19
7,135,0
0,136,27
1,136,16
2,136,2
3,136,32
4,136,12
5,136,27
6,136,24
7,136,0
0,137,29
1,137,14
2,137,5
3,137,25
4,137,11
5,137,11
6,137,30
7,137,0
0,138,41
1,138,10
2,138,1
3,138,15
4,138,14
5,138,20
6,138,33
7,138,0
0,139,50
1,139,4
2,139,4
3,139,14
4,139,14
5,139,17
6,139,28
7,139,0
0,140,30
1,140,14
2,140,3
3,140,27
4,140,13
5,140,25
6,140,29
7,140,0
0,141,31
1,141,10
2,141,3
3,141,36
4,141,12
5,141,15
6,141,19
7,141,0
0,142,32
1,142,15
2,142,5
3,142,33
4,142,7
5,142,19
6,142,41
7,142,0
0,143,36
1,143,16
2,143,3
3,143,27
4,143,6
5,143,5
6,143,36
7,143,0
0,201,44
1,201,8
2,201,2
3,201,18
4,201,7
5,201,19
6,201,33
7,201,0
0,202,32
1,202,8
2,202,7
3,202,32
4,202,7
5,202,21
6,202,16
7,202,0
0,203,36
1,203,11
2,203,1
3,203,29
4,203,4
5,203,21
6,203,28
7,203,0
0,204,43
1,204,10
2,204,4
3,204,21
4,204,8
5,204,20
6,204,35
7,204,0
0,205,29
1,205,12
2,205,5
3,205,25
4,205,6
5,205,21
6,205,25
7,205,0
0,301,37
1,301,10
2,301,1
3,301,29
4,301,5
5,301,18
6,301,44
7,301,0
0,302,22
1,302,9
2,302,7
3,302,36
4,302,7
5,302,30
6,302,25
7,302,0
0,303,31
1,303,11
2,303,2
3,303,34
4,303,3
5,303,19
6,303,35
7,303,0
0,304,43
1,304,12
2,304,2
3,304,20
4,304,4
5,304,17
6,304,30
7,304,0
0,305,38
1,305,17
2,305,2
3,305,30
4,305,15
5,305,16
6,305,32
7,305,0
0,306,46
1,306,13
2,306,4
3,306,15
4,306,9
5,306,12
6,306,52
7,306,0
0,307,51
1,307,8
2,307,6
3,307,18
4,307,8
5,307,17
6,307,44
7,307,0
0,308,43
1,308,20
2,308,4
3,308,23
4,308,6
5,308,8
6,308,34
7,308,0
0,309,41
1,309,9
2,309,5
3,309,22
4,309,4
5,309,18
6,309,25
7,309,0
0,310,31
1,310,13
2,310,5
3,310,33
4,310,8
5,310,19
6,310,29
7,310,0
0,311,34
1,311,20
2,311,4
3,311,23
4,311,4
5,311,7
6,311,35
7,311,0
0,312,39
1,312,11
