HouseholdSize:Output,Household Income:Output,Household Type:Output,Number Of Cars:Output,Frequency
1,High,type1,0,70
1,High,type1,1,63
1,High,type1,2,75
1,High,type1,3,60
1,High,type2,0,63
1,High,type2,1,80
1,High,type2,2,79
1,High,type2,3,59
1,High,type3,0,76
1,High,type3,1,75
1,High,type3,2,78
1,High,type3,3,64
1,Low,type1,0,63
1,Low,type1,1,68
1,Low,type1,2,59
1,Low,type1,3,69
1,Low,type2,0,79
1,Low,type2,1,55
1,Low,type2,2,68
1,Low,type2,3,69
1,Low,type3,0,82
1,Low,type3,1,75
1,Low,type3,2,75
1,Low,type3,3,74
2,High,type1,0,89
2,High,type1,1,77
2,High,type1,2,70
2,High,type1,3,78
2,High,type2,0,70
2,High,type2,1,72
2,High,type2,2,70
2,High,type2,3,62
2,High,type3,0,68
2,High,type3,1,82
2,High,type3,2,65
2,High,type3,3,67
2,Low,type1,0,61
2,Low,type1,1,61
2,Low,type1,2,76
2,Low,type1,3,53
2,Low,type2,0,67
2,Low,type2,1,71
2,Low,type2,2,74
2,Low,type2,3,77
2,Low,type3,0,71
2,Low,type3,1,59
2,Low,type3,2,59
2,Low,type3,3,82
3,High,type1,0,66
3,High,type1,1,76
3,High,type1,2,66
3,High,type1,3,71
3,High,type2,0,50
3,High,type2,1,71
3,High,type2,2,70
3,High,type2,3,70
3,High,type3,0,71
3,High,type3,1,68
3,High,type3,2,75
3,High,type3,3,78
3,Low,type1,0,67
3,Low,type1,1,72
3,Low,type1,2,67
3,Low,type1,3,69
3,Low,type2,0,79
3,Low,type2,1,76
3,Low,type2,2,57
3,Low,type2,3,61
3,Low,type3,0,73
3,Low,type3,1,61
3,Low,type3,2,74
3,Low,type3,3,72
4,High,type1,0,71
4,High,type1,1,63
4,High,type1,2,61
4,High,type1,3,69
4,High,type2,0,72
4,High,type2,1,73
4,High,type2,2,89
4,High,type2,3,71
4,High,type3,0,65
4,High,type3,1,63
4,High,type3,2,72
4,High,type3,3,81
4,Low,type1,0,66
4,Low,type1,1,75
4,Low,type1,2,70
4,Low,type1,3,63
4,Low,type2,0,61
4,Low,type2,1,50
4,Low,type2,2,65
4,Low,type2,3,61
4,Low,type3,0,58
4,Low,type3,1,54
4,Low,type3,2,66
4,Low,type3,3,72
5,High,type1,0,61
5,High,type1,1,71
5,High,type1,2,72
5,High,type1,3,73
5,High,type2,0,67
5,High,type2,1,76
5,High,type2,2,82
5,High,type2,3,62
5,High,type3,0,68
5,High,type3,1,67
5,High,type3,2,65
5,High,type3,3,69
5,Low,type1,0,73
5,Low,type1,1,64
5,Low,type1,2,68
5,Low,type1,3,70
5,Low,type2,0,66
5,Low,type2,1,70
5,Low,type2,2,67
5,Low,type2,3,69
5,Low,type3,0,74
5,Low,type3,1,88
5,Low,type3,2,72
5,Low,type3,3,76
6,High,type1,0,65
6,High,type1,1,74
6,High,type1,2,80
6,High,type1,3,68
6,High,type2,0,76
6,High,type2,1,69
6,High,type2,2,85
6,High,type2,3,57
6,High,type3,0,74
6,High,type3,1,65
6,High,type3,2,82
6,High,type3,3,90
6,Low,type1,0,67
6,Low,type1,1,63
6,Low,type1,2,55
6,Low,type1,3,61
6,Low,type2,0,55
6,Low,type2,1,70
6,Low,type2,2,84
6,Low,type2,3,84
6,Low,type3,0,65
6,Low,type3,1,51
6,Low,type3,2,70
6,Low,type3,3,70
