HouseholdSize:Output,Household Income:Output,Household Type:Output,Number Of Cars:Output,Frequency
1,High,type1,0,148
1,High,type1,1,121
1,High,type1,2,130
1,High,type1,3,140
1,High,type2,0,149
1,High,type2,1,143
1,High,type2,2,172
1,High,type2,3,163
1,High,type3,0,138
1,High,type3,1,114
1,High,type3,2,109
1,High,type3,3,139
1,Low,type1,0,132
1,Low,type1,1,149
1,Low,type1,2,130
1,Low,type1,3,164
1,Low,type2,0,160
1,Low,type2,1,155
1,Low,type2,2,162
1,Low,type2,3,144
1,Low,type3,0,152
1,Low,type3,1,151
1,Low,type3,2,130
1,Low,type3,3,156
2,High,type1,0,152
2,High,type1,1,107
2,High,type1,2,139
2,High,type1,3,176
2,High,type2,0,157
2,High,type2,1,137
2,High,type2,2,132
2,High,type2,3,130
2,High,type3,0,144
2,High,type3,1,116
2,High,type3,2,136
2,High,type3,3,142
2,Low,type1,0,104
2,Low,type1,1,132
2,Low,type1,2,168
2,Low,type1,3,131
2,Low,type2,0,127
2,Low,type2,1,128
2,Low,type2,2,131
2,Low,type2,3,141
2,Low,type3,0,124
2,Low,type3,1,167
2,Low,type3,2,142
2,Low,type3,3,146
3,High,type1,0,130
3,High,type1,1,128
3,High,type1,2,128
3,High,type1,3,127
3,High,type2,0,107
3,High,type2,1,120
3,High,type2,2,122
3,High,type2,3,146
3,High,type3,0,140
3,High,type3,1,151
3,High,type3,2,133
3,High,type3,3,151
3,Low,type1,0,135
3,Low,type1,1,167
3,Low,type1,2,127
3,Low,type1,3,160
3,Low,type2,0,120
3,Low,type2,1,120
3,Low,type2,2,145
3,Low,type2,3,132
3,Low,type3,0,153
3,Low,type3,1,144
3,Low,type3,2,150
3,Low,type3,3,167
4,High,type1,0,155
4,High,type1,1,127
4,High,type1,2,142
4,High,type1,3,137
4,High,type2,0,121
4,High,type2,1,142
4,High,type2,2,148
4,High,type2,3,133
4,High,type3,0,138
4,High,type3,1,174
4,High,type3,2,124
4,High,type3,3,130
4,Low,type1,0,143
4,Low,type1,1,154
4,Low,type1,2,140
4,Low,type1,3,118
4,Low,type2,0,137
4,Low,type2,1,147
4,Low,type2,2,108
4,Low,type2,3,138
4,Low,type3,0,112
4,Low,type3,1,148
4,Low,type3,2,147
4,Low,type3,3,130
5,High,type1,0,159
5,High,type1,1,136
5,High,type1,2,152
5,High,type1,3,127
5,High,type2,0,132
5,High,type2,1,127
5,High,type2,2,155
5,High,type2,3,156
5,High,type3,0,136
5,High,type3,1,139
5,High,type3,2,131
5,High,type3,3,145
5,Low,type1,0,122
5,Low,type1,1,144
5,Low,type1,2,145
5,Low,type1,3,152
5,Low,type2,0,134
5,Low,type2,1,123
5,Low,type2,2,177
5,Low,type2,3,118
5,Low,type3,0,111
5,Low,type3,1,129
5,Low,type3,2,186
5,Low,type3,3,129
6,High,type1,0,132
6,High,type1,1,166
6,High,type1,2,128
6,High,type1,3,165
6,High,type2,0,142
6,High,type2,1,135
6,High,type2,2,156
6,High,type2,3,167
6,High,type3,0,125
6,High,type3,1,127
6,High,type3,2,100
6,High,type3,3,119
6,Low,type1,0,143
6,Low,type1,1,141
6,Low,type1,2,130
6,Low,type1,3,153
6,Low,type2,0,143
6,Low,type2,1,139
6,Low,type2,2,117
6,Low,type2,3,128
6,Low,type3,0,107
6,Low,type3,1,128
6,Low,type3,2,148
6,Low,type3,3,140
