HouseholdSize:Output,Household Income:Output,Household Type:Output,Frequency
1,High,type1,268
1,High,type2,281
1,High,type3,293
1,Low,type1,259
1,Low,type2,271
1,Low,type3,306
2,High,type1,314
2,High,type2,274
2,High,type3,282
2,Low,type1,251
2,Low,type2,289
2,Low,type3,271
3,High,type1,279
3,High,type2,261
3,High,type3,292
3,Low,type1,275
3,Low,type2,273
3,Low,type3,280
4,High,type1,264
4,High,type2,305
4,High,type3,281
4,Low,type1,274
4,Low,type2,237
4,Low,type3,250
5,High,type1,277
5,High,type2,287
5,High,type3,269
5,Low,type1,275
5,Low,type2,272
5,Low,type3,310
6,High,type1,287
6,High,type2,287
6,High,type3,311
6,Low,type1,246
6,Low,type2,293
6,Low,type3,256
