HouseholdSize:Output,Household Income:Output,Household Type:Output,Frequency
1,High,type1,243
1,High,type2,288
1,High,type3,280
1,Low,type1,266
1,Low,type2,305
1,Low,type3,340
2,High,type1,298
2,High,type2,276
2,High,type3,308
2,Low,type1,268
2,Low,type2,288
2,Low,type3,285
3,High,type1,284
3,High,type2,246
3,High,type3,299
3,Low,type1,281
3,Low,type2,281
3,Low,type3,277
4,High,type1,264
4,High,type2,308
4,High,type3,251
4,Low,type1,278
4,Low,type2,222
4,Low,type3,253
5,High,type1,250
5,High,type2,315
5,High,type3,264
5,Low,type1,273
5,Low,type2,254
5,Low,type3,300
6,High,type1,279
6,High,type2,290
6,High,type3,319
6,Low,type1,237
6,Low,type2,271
6,Low,type3,259
