householdSize,householdIncome,householdType
5,High,type3
4,Low,type2
1,Low,type3
2,High,type1
4,High,type1
5,Low,type2
2,High,type1
3,High,type3
2,High,type3
2,Low,type1
6,High,type1
6,Low,type2
3,Low,type1
3,High,type2
2,High,type1
2,Low,type2
3,Low,type3
4,Low,type2
3,High,type3
6,High,type2
3,Low,type2
2,High,type2
5,Low,type1
1,High,type3
6,Low,type2
1,High,type1
6,High,type2
4,Low,type1
1,Low,type2
5,Low,type2
2,Low,type3
2,Low,type2
5,High,type1
6,High,type2
6,High,type3
1,Low,type2
5,Low,type2
1,High,type2
1,Low,type2
2,High,type3
1,High,type3
5,Low,type3
1,High,type1
5,High,type1
5,High,type2
3,Low,type1
1,Low,type3
3,High,type2
4,High,type1
6,Low,type1
1,Low,type1
1,High,type3
3,High,type3
2,High,type2
2,Low,type1
4,High,type2
1,Low,type1
2,Low,type3
3,Low,type3
1,High,type2
6,Low,type2
5,High,type1
2,Low,type1
3,High,type1
1,Low,type3
4,Low,type1
4,Low,type1
4,High,type1
5,Low,type1
4,Low,type1
3,Low,type3
5,Low,type1
6,Low,type1
1,High,type2
3,High,type2
4,High,type3
3,Low,type3
4,High,type1
2,High,type1
5,Low,type3
2,High,type2
4,High,type3
5,Low,type2
2,High,type2
3,Low,type2
1,High,type3
2,Low,type2
4,Low,type3
1,High,type3
5,High,type3
3,Low,type3
5,Low,type2
6,Low,type3
6,High,type1
2,High,type2
4,High,type3
1,Low,type3
2,High,type1
1,Low,type2
5,High,type3
6,Low,type1
2,Low,type3
4,High,type1
1,Low,type1
2,Low,type2
3,Low,type3
2,Low,type2
5,Low,type3
4,High,type1
5,Low,type3
6,Low,type1
5,High,type1
6,Low,type3
2,Low,type3
2,High,type1
6,High,type2
2,High,type1
5,Low,type1
1,High,type3
2,High,type3
2,High,type2
2,High,type3
2,Low,type1
6,High,type1
1,High,type1
3,High,type3
4,High,type3
3,Low,type2
5,Low,type2
4,High,type1
4,High,type1
4,High,type2
5,Low,type3
6,High,type1
4,High,type1
1,Low,type1
3,Low,type2
6,Low,type3
1,Low,type2
2,High,type1
2,Low,type2
1,Low,type1
6,Low,type2
4,Low,type2
4,High,type1
5,High,type1
1,High,type2
3,Low,type3
1,High,type1
2,Low,type2
1,High,type2
5,High,type2
1,High,type1
1,Low,type3
6,High,type2
6,High,type3
6,Low,type3
2,Low,type3
4,Low,type1
2,Low,type2
3,Low,type1
5,High,type1
6,Low,type2
6,Low,type2
3,Low,type3
5,Low,type1
5,Low,type1
2,Low,type1
2,Low,type2
6,High,type1
3,Low,type3
1,High,type1
6,Low,type3
3,High,type3
6,High,type3
3,High,type3
3,High,type3
5,High,type2
3,Low,type3
4,Low,type3
3,Low,type2
4,Low,type2
2,High,type1
3,Low,type1
5,Low,type1
3,High,type3
