householdSize,householdIncome
3,Low
2,High
4,Low
1,High
1,Low
2,High
1,Low
5,High
6,Low
2,Low
4,High
1,Low
3,Low
5,High
5,High
4,High
4,Low
3,High
2,Low
3,High
6,Low
2,High
3,Low
2,Low
4,High
2,High
6,High
4,High
1,High
1,High
1,High
4,Low
3,High
4,Low
4,High
3,High
3,Low
2,High
1,High
4,High
1,Low
5,Low
4,High
3,High
2,Low
4,Low
1,High
2,High
4,High
1,Low
6,High
6,High
1,Low
4,Low
1,High
2,Low
3,Low
2,High
6,Low
1,High
6,Low
2,Low
6,High
5,Low
6,Low
4,Low
4,High
4,High
3,High
4,High
1,High
6,High
6,High
4,Low
1,Low
3,Low
1,High
5,Low
5,Low
2,High
6,High
2,High
2,High
6,Low
2,Low
1,High
5,Low
4,High
6,High
6,High
6,High
6,Low
3,Low
4,High
1,Low
3,Low
1,High
3,High
4,Low
1,Low
1,Low
1,High
6,High
5,Low
2,High
3,High
4,Low
1,High
5,Low
3,Low
3,High
4,Low
5,High
4,High
6,Low
1,Low
4,High
6,Low
2,High
2,High
2,High
3,Low
1,Low
3,High
2,High
2,High
5,High
6,Low
1,Low
6,Low
6,High
3,High
6,High
6,Low
3,High
1,High
3,Low
4,Low
1,Low
6,Low
6,High
5,High
6,High
4,High
5,Low
1,Low
3,Low
6,Low
5,Low
3,High
6,High
4,High
2,High
5,High
3,Low
1,Low
1,Low
6,High
4,Low
6,Low
3,High
4,Low
6,Low
3,High
5,Low
2,Low
1,High
4,High
2,Low
3,High
1,High
3,Low
6,High
5,Low
1,High
3,High
3,Low
6,High
1,Low
6,High
6,Low
2,Low
3,High
6,High
2,Low
1,Low
3,Low
5,Low
4,High
1,High
6,High
5,Low
3,High
4,Low
2,Low
3,Low
2,High
3,Low
3,High
3,High
5,High
1,Low
4,High
5,High
3,High
3,Low
5,High
6,Low
5,Low
4,High
6,High
3,Low
6,Low
3,Low
6,High
5,Low
1,Low
3,Low
6,Low
4,Low
5,Low
4,High
5,Low
4,High
6,Low
3,Low
5,High
3,Low
2,Low
2,Low
2,Low
5,High
5,Low
5,Low
2,High
5,Low
3,High
3,Low
4,Low
5,High
4,Low
1,High
3,High
3,High
5,High
5,Low
6,Low
2,Low
5,High
5,Low
4,Low
5,High
3,Low
5,Low
3,Low
6,Low
6,High
2,Low
2,Low
2,High
2,Low
6,Low
3,Low
3,High
1,Low
4,Low
4,Low
1,Low
2,Low
4,Low
4,High
2,Low
3,Low
4,Low
1,Low
5,High
4,High
1,High
3,Low
6,High
3,High
4,High
4,Low
6,High
1,Low
5,High
4,High
5,High
6,Low
2,Low
6,High
6,Low
4,High
2,High
5,Low
2,High
1,High
2,Low
4,Low
4,High
1,High
2,Low
3,High
2,High
3,High
3,Low
5,Low
5,Low
1,Low
5,Low
3,High
5,Low
2,Low
4,High
3,Low
3,Low
2,Low
5,Low
2,High
1,High
5,Low
3,High
6,Low
6,High
1,Low
4,Low
3,Low
3,Low
1,High
4,Low
1,Low
3,High
4,Low
4,High
3,High
3,Low
2,High
3,High
6,Low
4,Low
6,Low
4,High
6,High
3,Low
2,High
1,Low
4,High
5,High
6,High
5,Low
5,High
2,High
3,Low
5,High
2,High
6,High
6,High
5,Low
6,High
1,High
5,Low
6,Low
6,High
6,Low
4,Low
1,High
5,High
4,Low
5,High
1,Low
2,High
6,High
2,Low
1,Low
5,Low
3,High
2,High
1,Low
6,Low
6,Low
1,Low
1,Low
1,Low
3,Low
2,Low
4,Low
1,High
1,Low
5,High
4,Low
4,High
6,High
5,High
1,High
3,Low
2,Low
6,Low
6,Low
4,High
6,Low
5,Low
1,Low
1,Low
2,High
2,Low
6,Low
2,High
5,High
3,Low
1,High
5,High
6,High
5,Low
5,Low
5,High
3,High
5,High
3,Low
4,Low
4,High
1,High
1,High
5,High
2,Low
1,High
6,High
3,Low
1,Low
6,Low
6,Low
1,High
2,High
5,Low
5,Low
2,High
6,Low
4,High
1,Low
4,Low
1,High
3,High
6,Low
6,Low
5,High
6,Low
3,High
3,High
6,Low
6,Low
5,Low
6,Low
2,Low
5,High
6,Low
6,High
5,Low
5,High
5,Low
4,High
1,Low
2,High
4,High
3,Low
5,High
6,Low
3,Low
1,High
5,High
6,High
3,High
2,Low
3,High
4,High
2,Low
5,High
3,Low
6,High
4,High
4,Low
1,High
1,Low
5,High
4,High
1,High
5,High
3,High
5,High
5,Low
1,Low
2,High
3,Low
5,High
1,Low
4,Low
3,Low
4,High
4,High
4,High
1,Low
2,High
3,Low
5,Low
4,High
4,Low
6,High
3,Low
4,High
4,High
3,Low
5,Low
6,High
4,High
1,Low
3,Low
5,Low
1,Low
4,High
3,High
1,High
6,High
1,High
4,Low
1,High
3,Low
3,High
4,High
5,Low
5,High
5,Low
2,Low
1,Low
3,High
4,Low
5,Low
1,High
1,Low
2,Low
6,Low
6,Low
5,Low
5,High
2,High
3,Low
4,Low
6,High
2,High
3,High
4,High
3,Low
1,Low
5,Low
6,High
5,High
4,High
5,Low
2,Low
4,Low
1,Low
6,Low
3,High
1,Low
2,Low
1,Low
6,High
4,High
5,High
5,Low
1,High
3,High
3,Low
1,Low
2,High
4,Low
2,High
2,Low
4,High
4,High
2,High
5,High
5,High
6,High
3,High
3,High
2,Low
3,High
4,Low
4,High
5,Low
1,High
1,Low
1,High
2,High
5,High
2,High
6,Low
5,High
4,Low
5,High
5,Low
6,Low
5,Low
1,Low
6,High
3,Low
5,High
5,Low
1,Low
5,High
6,High
3,Low
2,High
5,High
1,High
5,Low
2,High
2,Low
2,Low
6,High
6,Low
4,High
5,Low
6,High
5,Low
4,Low
4,High
1,Low
1,Low
4,Low
3,Low
6,Low
6,Low
6,Low
6,Low
6,High
6,High
2,Low
2,High
4,Low
5,Low
6,High
1,Low
6,Low
6,Low
6,Low
4,Low
1,High
5,Low
6,Low
3,High
2,High
6,Low
6,Low
5,Low
3,High
6,Low
6,High
1,Low
5,High
6,Low
6,High
5,High
4,Low
5,High
1,High
4,Low
2,Low
5,Low
2,Low
5,High
1,High
2,High
6,High
5,High
3,High
4,High
3,High
5,Low
1,High
5,High
5,Low
3,Low
1,Low
4,High
4,Low
5,High
2,High
4,Low
4,High
5,Low
1,Low
6,Low
5,High
1,High
3,High
4,Low
2,High
3,High
5,Low
1,High
2,Low
3,High
1,High
5,Low
4,High
1,High
2,Low
1,High
1,Low
5,High
2,High
3,Low
3,Low
2,High
6,High
3,Low
6,High
1,Low
4,High
4,High
1,High
5,Low
4,High
1,Low
4,Low
4,Low
3,High
3,Low
1,High
6,Low
2,Low
3,Low
4,High
6,High
5,High
3,High
5,High
5,High
3,High
3,High
2,Low
5,Low
5,High
5,Low
2,High
6,Low
1,Low
2,High
1,Low
3,Low
3,Low
5,High
3,Low
1,Low
4,Low
1,High
5,High
3,Low
6,High
4,Low
6,Low
6,Low
4,High
2,Low
2,Low
4,High
1,Low
4,Low
2,High
3,Low
6,Low
2,High
1,High
3,Low
3,Low
1,High
6,Low
2,High
3,Low
4,Low
4,Low
5,High
5,Low
4,High
1,High
5,Low
2,High
2,Low
5,Low
2,High
2,High
5,High
5,Low
2,High
4,Low
5,Low
1,Low
4,High
2,Low
6,High
4,Low
2,High
6,Low
6,High
2,Low
3,High
6,High
4,High
5,High
2,High
6,High
3,High
2,High
3,High
6,High
3,Low
6,Low
3,High
2,High
6,High
1,High
4,Low
6,Low
2,High
5,High
2,Low
5,High
2,High
1,Low
2,Low
1,Low
5,High
1,Low
1,Low
2,Low
2,High
1,Low
2,High
4,Low
6,Low
1,Low
2,Low
4,High
6,Low
5,High
3,High
