Work:Output,Age:Output,Gender:Output,Frequency
agriculteur,0:15,false,276
agriculteur,0:15,true,331
agriculteur,16:20,false,316
agriculteur,16:20,true,314
agriculteur,21:25,false,327
agriculteur,21:25,true,324
agriculteur,26:30,false,303
agriculteur,26:30,true,314
agriculteur,31:50,false,289
agriculteur,31:50,true,276
agriculteur,51:60,false,303
agriculteur,51:60,true,296
agriculteur,61:75,false,297
agriculteur,61:75,true,300
agriculteur,76:80,false,278
agriculteur,76:80,true,306
agriculteur,81:100,false,289
agriculteur,81:100,true,279
artisant,0:15,false,292
artisant,0:15,true,298
artisant,16:20,false,331
artisant,16:20,true,298
artisant,21:25,false,304
artisant,21:25,true,275
artisant,26:30,false,300
artisant,26:30,true,276
artisant,31:50,false,309
artisant,31:50,true,316
artisant,51:60,false,308
artisant,51:60,true,301
artisant,61:75,false,301
artisant,61:75,true,331
artisant,76:80,false,316
artisant,76:80,true,318
artisant,81:100,false,324
artisant,81:100,true,305
commercant,0:15,false,265
commercant,0:15,true,279
commercant,16:20,false,298
commercant,16:20,true,253
commercant,21:25,false,248
commercant,21:25,true,343
commercant,26:30,false,306
commercant,26:30,true,284
commercant,31:50,false,337
commercant,31:50,true,298
commercant,51:60,false,289
commercant,51:60,true,289
commercant,61:75,false,301
commercant,61:75,true,316
commercant,76:80,false,308
commercant,76:80,true,275
commercant,81:100,false,295
commercant,81:100,true,275
conducteur,0:15,false,317
conducteur,0:15,true,318
conducteur,16:20,false,298
conducteur,16:20,true,289
conducteur,21:25,false,297
conducteur,21:25,true,281
conducteur,26:30,false,299
conducteur,26:30,true,285
conducteur,31:50,false,282
conducteur,31:50,true,293
conducteur,51:60,false,327
conducteur,51:60,true,306
conducteur,61:75,false,298
conducteur,61:75,true,302
conducteur,76:80,false,309
conducteur,76:80,true,299
conducteur,81:100,false,321
conducteur,81:100,true,312
ecolier,0:15,false,256
ecolier,0:15,true,310
ecolier,16:20,false,317
ecolier,16:20,true,329
ecolier,21:25,false,276
ecolier,21:25,true,289
ecolier,26:30,false,311
ecolier,26:30,true,286
ecolier,31:50,false,291
ecolier,31:50,true,254
ecolier,51:60,false,291
ecolier,51:60,true,328
ecolier,61:75,false,289
ecolier,61:75,true,300
ecolier,76:80,false,245
ecolier,76:80,true,296
ecolier,81:100,false,290
ecolier,81:100,true,309
employe_prive,0:15,false,274
employe_prive,0:15,true,298
employe_prive,16:20,false,300
employe_prive,16:20,true,292
employe_prive,21:25,false,273
employe_prive,21:25,true,287
employe_prive,26:30,false,317
employe_prive,26:30,true,303
employe_prive,31:50,false,300
employe_prive,31:50,true,299
employe_prive,51:60,false,288
employe_prive,51:60,true,306
employe_prive,61:75,false,323
employe_prive,61:75,true,312
employe_prive,76:80,false,247
employe_prive,76:80,true,310
employe_prive,81:100,false,295
employe_prive,81:100,true,299
enseignant,0:15,false,318
enseignant,0:15,true,311
enseignant,16:20,false,297
enseignant,16:20,true,293
enseignant,21:25,false,272
enseignant,21:25,true,309
enseignant,26:30,false,303
enseignant,26:30,true,312
enseignant,31:50,false,299
enseignant,31:50,true,294
enseignant,51:60,false,291
enseignant,51:60,true,302
enseignant,61:75,false,291
enseignant,61:75,true,301
enseignant,76:80,false,304
enseignant,76:80,true,306
enseignant,81:100,false,309
enseignant,81:100,true,291
militaire,0:15,false,305
militaire,0:15,true,288
militaire,16:20,false,295
militaire,16:20,true,285
militaire,21:25,false,299
militaire,21:25,true,289
militaire,26:30,false,286
militaire,26:30,true,315
militaire,31:50,false,302
militaire,31:50,true,346
militaire,51:60,false,297
militaire,51:60,true,297
militaire,61:75,false,289
militaire,61:75,true,279
militaire,76:80,false,306
militaire,76:80,true,289
militaire,81:100,false,290
militaire,81:100,true,325
ouvrier,0:15,false,303
ouvrier,0:15,true,315
ouvrier,16:20,false,298
ouvrier,16:20,true,300
ouvrier,21:25,false,286
ouvrier,21:25,true,295
ouvrier,26:30,false,289
ouvrier,26:30,true,296
ouvrier,31:50,false,293
ouvrier,31:50,true,294
ouvrier,51:60,false,297
ouvrier,51:60,true,306
ouvrier,61:75,false,297
ouvrier,61:75,true,296
ouvrier,76:80,false,259
ouvrier,76:80,true,283
ouvrier,81:100,false,302
ouvrier,81:100,true,279
ouvrier_agricole,0:15,false,321
ouvrier_agricole,0:15,true,297
ouvrier_agricole,16:20,false,299
ouvrier_agricole,16:20,true,280
ouvrier_agricole,21:25,false,266
ouvrier_agricole,21:25,true,300
ouvrier_agricole,26:30,false,303
ouvrier_agricole,26:30,true,302
ouvrier_agricole,31:50,false,267
ouvrier_agricole,31:50,true,285
ouvrier_agricole,51:60,false,294
ouvrier_agricole,51:60,true,299
ouvrier_agricole,61:75,false,314
ouvrier_agricole,61:75,true,311
ouvrier_agricole,76:80,false,272
ouvrier_agricole,76:80,true,276
ouvrier_agricole,81:100,false,289
ouvrier_agricole,81:100,true,290
ouvrier_batiment,0:15,false,305
ouvrier_batiment,0:15,true,314
ouvrier_batiment,16:20,false,297
ouvrier_batiment,16:20,true,314
ouvrier_batiment,21:25,false,287
ouvrier_batiment,21:25,true,299
ouvrier_batiment,26:30,false,290
ouvrier_batiment,26:30,true,313
ouvrier_batiment,31:50,false,298
ouvrier_batiment,31:50,true,311
ouvrier_batiment,51:60,false,311
ouvrier_batiment,51:60,true,269
ouvrier_batiment,61:75,false,310
ouvrier_batiment,61:75,true,304
ouvrier_batiment,76:80,false,296
ouvrier_batiment,76:80,true,333
ouvrier_batiment,81:100,false,289
ouvrier_batiment,81:100,true,307
retraite,0:15,false,293
retraite,0:15,true,319
retraite,16:20,false,320
retraite,16:20,true,281
retraite,21:25,false,298
retraite,21:25,true,288
retraite,26:30,false,311
retraite,26:30,true,304
retraite,31:50,false,305
retraite,31:50,true,294
retraite,51:60,false,326
retraite,51:60,true,278
retraite,61:75,false,274
retraite,61:75,true,279
retraite,76:80,false,304
retraite,76:80,true,305
retraite,81:100,false,289
retraite,81:100,true,294
sans_activite,0:15,false,312
sans_activite,0:15,true,283
sans_activite,16:20,false,292
sans_activite,16:20,true,277
sans_activite,21:25,false,284
sans_activite,21:25,true,316
sans_activite,26:30,false,307
sans_activite,26:30,true,336
sans_activite,31:50,false,299
sans_activite,31:50,true,300
sans_activite,51:60,false,290
sans_activite,51:60,true,273
sans_activite,61:75,false,317
sans_activite,61:75,true,288
sans_activite,76:80,false,296
sans_activite,76:80,true,331
sans_activite,81:100,false,266
sans_activite,81:100,true,305
