Work:Output,Age:Output,Frequency
agriculteur,0:15,607
agriculteur,16:20,630
agriculteur,21:25,651
agriculteur,26:30,617
agriculteur,31:50,565
agriculteur,51:60,599
agriculteur,61:75,597
agriculteur,76:80,584
agriculteur,81:100,568
artisant,0:15,590
artisant,16:20,629
artisant,21:25,579
artisant,26:30,576
artisant,31:50,625
artisant,51:60,609
artisant,61:75,632
artisant,76:80,634
artisant,81:100,629
commercant,0:15,544
commercant,16:20,551
commercant,21:25,591
commercant,26:30,590
commercant,31:50,635
commercant,51:60,578
commercant,61:75,617
commercant,76:80,583
commercant,81:100,570
conducteur,0:15,635
conducteur,16:20,587
conducteur,21:25,578
conducteur,26:30,584
conducteur,31:50,575
conducteur,51:60,633
conducteur,61:75,600
conducteur,76:80,608
conducteur,81:100,633
ecolier,0:15,566
ecolier,16:20,646
ecolier,21:25,565
ecolier,26:30,597
ecolier,31:50,545
ecolier,51:60,619
ecolier,61:75,589
ecolier,76:80,541
ecolier,81:100,599
employe_prive,0:15,572
employe_prive,16:20,592
employe_prive,21:25,560
employe_prive,26:30,620
employe_prive,31:50,599
employe_prive,51:60,594
employe_prive,61:75,635
employe_prive,76:80,557
employe_prive,81:100,594
enseignant,0:15,629
enseignant,16:20,590
enseignant,21:25,581
enseignant,26:30,615
enseignant,31:50,593
enseignant,51:60,593
enseignant,61:75,592
enseignant,76:80,610
enseignant,81:100,600
militaire,0:15,593
militaire,16:20,580
militaire,21:25,588
militaire,26:30,601
militaire,31:50,648
militaire,51:60,594
militaire,61:75,568
militaire,76:80,595
militaire,81:100,615
ouvrier,0:15,618
ouvrier,16:20,598
ouvrier,21:25,581
ouvrier,26:30,585
ouvrier,31:50,587
ouvrier,51:60,603
ouvrier,61:75,593
ouvrier,76:80,542
ouvrier,81:100,581
ouvrier_agricole,0:15,618
ouvrier_agricole,16:20,579
ouvrier_agricole,21:25,566
ouvrier_agricole,26:30,605
ouvrier_agricole,31:50,552
ouvrier_agricole,51:60,593
ouvrier_agricole,61:75,625
ouvrier_agricole,76:80,548
ouvrier_agricole,81:100,579
ouvrier_batiment,0:15,619
ouvrier_batiment,16:20,611
ouvrier_batiment,21:25,586
ouvrier_batiment,26:30,603
ouvrier_batiment,31:50,609
ouvrier_batiment,51:60,580
ouvrier_batiment,61:75,614
ouvrier_batiment,76:80,629
ouvrier_batiment,81:100,596
retraite,0:15,612
retraite,16:20,601
retraite,21:25,586
retraite,26:30,615
retraite,31:50,599
retraite,51:60,604
retraite,61:75,553
retraite,76:80,609
retraite,81:100,583
sans_activite,0:15,595
sans_activite,16:20,569
sans_activite,21:25,600
sans_activite,26:30,643
sans_activite,31:50,599
sans_activite,51:60,563
sans_activite,61:75,605
sans_activite,76:80,627
sans_activite,81:100,571
