Work:Output,Age:Output,Frequency
agriculteur,0:15,601
agriculteur,16:20,627
agriculteur,21:25,660
agriculteur,26:30,642
agriculteur,31:50,542
agriculteur,51:60,613
agriculteur,61:75,620
agriculteur,76:80,553
agriculteur,81:100,572
artisant,0:15,596
artisant,16:20,590
artisant,21:25,592
artisant,26:30,602
artisant,31:50,586
artisant,51:60,585
artisant,61:75,626
artisant,76:80,636
artisant,81:100,642
commercant,0:15,541
commercant,16:20,544
commercant,21:25,580
commercant,26:30,610
commercant,31:50,638
commercant,51:60,569
commercant,61:75,581
commercant,76:80,635
commercant,81:100,586
conducteur,0:15,652
conducteur,16:20,607
conducteur,21:25,563
conducteur,26:30,633
conducteur,31:50,567
conducteur,51:60,642
conducteur,61:75,565
conducteur,76:80,597
conducteur,81:100,608
ecolier,0:15,583
ecolier,16:20,610
ecolier,21:25,565
ecolier,26:30,577
ecolier,31:50,524
ecolier,51:60,626
ecolier,61:75,535
ecolier,76:80,543
ecolier,81:100,633
employe_prive,0:15,569
employe_prive,16:20,623
employe_prive,21:25,573
employe_prive,26:30,628
employe_prive,31:50,637
employe_prive,51:60,601
employe_prive,61:75,642
employe_prive,76:80,571
employe_prive,81:100,602
enseignant,0:15,677
enseignant,16:20,602
enseignant,21:25,502
enseignant,26:30,629
enseignant,31:50,598
enseignant,51:60,570
enseignant,61:75,626
enseignant,76:80,667
enseignant,81:100,613
militaire,0:15,572
militaire,16:20,571
militaire,21:25,610
militaire,26:30,609
militaire,31:50,626
militaire,51:60,575
militaire,61:75,535
militaire,76:80,582
militaire,81:100,600
ouvrier,0:15,593
ouvrier,16:20,590
ouvrier,21:25,558
ouvrier,26:30,584
ouvrier,31:50,552
ouvrier,51:60,636
ouvrier,61:75,593
ouvrier,76:80,520
ouvrier,81:100,578
ouvrier_agricole,0:15,593
ouvrier_agricole,16:20,601
ouvrier_agricole,21:25,537
ouvrier_agricole,26:30,563
ouvrier_agricole,31:50,527
ouvrier_agricole,51:60,543
ouvrier_agricole,61:75,632
ouvrier_agricole,76:80,568
ouvrier_agricole,81:100,589
ouvrier_batiment,0:15,632
ouvrier_batiment,16:20,604
ouvrier_batiment,21:25,594
ouvrier_batiment,26:30,594
ouvrier_batiment,31:50,633
ouvrier_batiment,51:60,591
ouvrier_batiment,61:75,597
ouvrier_batiment,76:80,630
ouvrier_batiment,81:100,634
retraite,0:15,601
retraite,16:20,624
retraite,21:25,628
retraite,26:30,645
retraite,31:50,613
retraite,51:60,585
retraite,61:75,539
retraite,76:80,630
retraite,81:100,575
sans_activite,0:15,605
sans_activite,16:20,577
sans_activite,21:25,572
sans_activite,26:30,632
sans_activite,31:50,614
sans_activite,51:60,577
sans_activite,61:75,644
sans_activite,76:80,610
sans_activite,81:100,576
