age,work
94,militaire
59,agriculteur
77,ouvrier_agricole
26,conducteur
21,commercant
76,employe_prive
78,artisant
23,ouvrier_agricole
56,artisant
54,conducteur
13,employe_prive
88,commercant
9,ouvrier_batiment
16,agriculteur
62,ouvrier_batiment
95,retraite
57,enseignant
30,enseignant
23,enseignant
20,commercant
20,employe_prive
78,conducteur
29,ouvrier_agricole
80,militaire
94,enseignant
57,enseignant
45,militaire
50,artisant
54,retraite
8,sans_activite
97,militaire
40,conducteur
75,ouvrier_batiment
28,ouvrier
50,enseignant
52,artisant
79,commercant
28,retraite
17,ecolier
21,ecolier
5,ouvrier_batiment
26,ecolier
29,ecolier
46,enseignant
76,commercant
67,sans_activite
42,enseignant
40,enseignant
11,ouvrier
27,agriculteur
1,conducteur
0,ouvrier_agricole
83,sans_activite
57,artisant
77,militaire
27,artisant
4,militaire
66,ecolier
56,commercant
65,ecolier
25,sans_activite
60,artisant
71,conducteur
20,ouvrier_batiment
6,commercant
49,agriculteur
4,sans_activite
26,commercant
74,enseignant
36,militaire
98,employe_prive
79,militaire
23,sans_activite
85,retraite
12,ecolier
24,agriculteur
29,retraite
50,artisant
69,militaire
24,ecolier
24,enseignant
27,conducteur
24,enseignant
93,commercant
70,retraite
54,artisant
24,sans_activite
90,employe_prive
97,conducteur
42,militaire
5,retraite
68,conducteur
58,militaire
38,agriculteur
54,ouvrier
22,enseignant
36,agriculteur
98,conducteur
36,militaire
21,conducteur
77,artisant
6,ouvrier_agricole
13,employe_prive
13,ouvrier
53,employe_prive
29,sans_activite
43,enseignant
98,commercant
19,conducteur
74,artisant
21,retraite
66,retraite
11,ecolier
25,sans_activite
25,ecolier
76,sans_activite
74,enseignant
62,artisant
58,conducteur
22,ouvrier_batiment
23,conducteur
18,militaire
98,militaire
55,agriculteur
28,enseignant
76,militaire
59,agriculteur
70,commercant
88,enseignant
7,ouvrier_batiment
20,employe_prive
80,conducteur
16,militaire
58,retraite
24,employe_prive
18,ecolier
45,ouvrier_agricole
55,enseignant
57,ouvrier_agricole
16,ecolier
77,retraite
22,enseignant
77,militaire
28,agriculteur
7,commercant
27,militaire
35,commercant
28,artisant
53,conducteur
27,commercant
41,militaire
14,agriculteur
74,artisant
16,ouvrier
95,retraite
30,militaire
83,artisant
29,artisant
2,ouvrier_batiment
86,enseignant
50,ouvrier
100,agriculteur
19,conducteur
20,retraite
81,agriculteur
59,sans_activite
44,artisant
16,ouvrier_agricole
72,agriculteur
77,employe_prive
24,sans_activite
54,commercant
33,retraite
1,agriculteur
77,retraite
18,retraite
78,ouvrier_agricole
7,conducteur
30,enseignant
69,ouvrier
17,agriculteur
60,ouvrier
26,conducteur
30,enseignant
74,commercant
94,enseignant
33,commercant
69,conducteur
20,enseignant
25,militaire
25,artisant
89,conducteur
68,militaire
96,retraite
51,militaire
16,enseignant
43,artisant
17,artisant
18,artisant
78,ouvrier_batiment
32,artisant
53,ouvrier_agricole
69,agriculteur
76,retraite
97,sans_activite
0,employe_prive
100,ouvrier_batiment
30,retraite
16,ouvrier_agricole
86,enseignant
67,agriculteur
51,agriculteur
20,commercant
21,agriculteur
26,conducteur
91,agriculteur
98,enseignant
29,agriculteur
67,ecolier
22,militaire
18,employe_prive
47,artisant
24,ouvrier
99,ouvrier_batiment
6,militaire
81,employe_prive
24,agriculteur
88,ouvrier
73,ouvrier_batiment
77,sans_activite
47,ouvrier_agricole
16,ouvrier_agricole
83,ecolier
30,commercant
34,ouvrier_batiment
79,ecolier
83,sans_activite
20,commercant
63,ouvrier_batiment
27,sans_activite
30,ouvrier_batiment
36,sans_activite
26,artisant
24,commercant
76,artisant
75,retraite
8,enseignant
2,agriculteur
51,ouvrier_batiment
17,artisant
29,agriculteur
79,ecolier
17,conducteur
63,employe_prive
80,ecolier
24,agriculteur
39,conducteur
3,ouvrier
76,artisant
17,sans_activite
4,ecolier
26,conducteur
21,artisant
16,agriculteur
22,artisant
27,ouvrier_batiment
34,employe_prive
70,sans_activite
86,conducteur
77,militaire
65,ouvrier_agricole
25,ouvrier_batiment
63,militaire
54,retraite
16,commercant
85,ouvrier
28,ouvrier
45,commercant
95,artisant
72,ouvrier_batiment
6,retraite
59,artisant
23,retraite
25,militaire
23,conducteur
24,artisant
74,agriculteur
72,sans_activite
65,sans_activite
4,ouvrier_agricole
56,ouvrier_batiment
77,ouvrier_agricole
51,ecolier
28,commercant
6,ouvrier_batiment
56,commercant
18,agriculteur
96,ouvrier_batiment
16,ouvrier_agricole
5,ecolier
61,ouvrier_agricole
76,ouvrier_batiment
48,enseignant
62,enseignant
58,enseignant
27,ouvrier_agricole
23,artisant
79,ouvrier_agricole
17,enseignant
57,militaire
57,ouvrier_batiment
23,artisant
81,sans_activite
61,ouvrier_agricole
16,employe_prive
58,ouvrier_batiment
77,employe_prive
20,ecolier
80,conducteur
97,ouvrier_agricole
89,artisant
68,artisant
24,militaire
46,retraite
24,ouvrier_batiment
19,ouvrier_batiment
