householdSize,householdIncome,householdType,numberOfCars,householdID
1,Low,type2,0,9812
4,Low,type2,3,6337
3,High,type1,1,4737
2,High,type2,2,2637
4,High,type2,1,351
4,Low,type2,0,6889
4,Low,type2,2,5041
4,High,type1,2,9846
2,High,type1,0,1306
6,Low,type1,2,5410
4,High,type2,3,7201
6,High,type2,2,1822
5,Low,type3,2,7935
6,Low,type1,1,4189
3,Low,type1,1,4079
1,High,type2,2,7844
4,High,type3,3,2668
2,High,type2,1,7294
5,Low,type3,3,9758
5,High,type3,3,6521
1,High,type3,1,5604
1,Low,type2,3,339
4,Low,type1,1,6628
2,High,type1,0,9094
1,Low,type1,0,3049
1,Low,type3,2,5602
5,Low,type3,0,373
2,High,type1,2,5877
5,Low,type1,1,5405
5,Low,type3,0,4447
2,High,type2,3,9059
6,Low,type2,1,8338
6,High,type3,3,3384
2,High,type3,0,672
2,High,type1,0,1919
5,Low,type1,3,6075
1,High,type2,2,7148
3,Low,type2,0,1009
6,High,type3,1,2725
4,High,type1,2,8313
6,Low,type2,2,2346
5,High,type3,3,2168
3,Low,type1,1,5034
2,Low,type2,2,5842
2,Low,type3,0,8091
1,Low,type1,3,8820
6,Low,type2,3,4607
4,High,type2,2,8723
2,High,type2,3,6477
3,Low,type2,0,2907
1,Low,type3,3,5685
6,Low,type3,3,445
5,High,type1,1,9308
3,Low,type2,0,8199
2,Low,type2,2,2005
4,High,type3,3,6339
1,Low,type3,3,6962
3,High,type1,2,5818
5,Low,type2,2,4069
1,High,type1,0,4952
2,Low,type2,0,7054
6,Low,type1,0,4491
1,Low,type2,3,9081
3,Low,type1,3,6280
2,Low,type3,2,452
5,High,type2,3,3146
2,Low,type2,3,7562
4,Low,type2,3,7877
3,Low,type2,0,4884
3,Low,type2,1,9415
5,Low,type1,1,1432
5,Low,type1,1,2269
4,High,type3,1,3615
2,Low,type1,2,4512
3,Low,type3,0,7520
4,High,type2,1,1275
3,High,type1,1,4785
1,Low,type2,2,5064
6,High,type1,2,6732
4,High,type1,3,8050
2,High,type3,3,4302
2,High,type1,1,7121
4,Low,type3,1,9774
5,High,type2,3,6660
1,Low,type3,2,1248
3,Low,type3,0,9221
6,Low,type1,2,3682
5,Low,type1,1,5154
6,High,type1,1,6673
1,Low,type2,0,1534
6,Low,type3,0,993
4,Low,type1,2,4798
3,High,type1,3,8715
6,Low,type1,1,2533
6,High,type2,3,7066
3,Low,type2,2,8679
6,Low,type2,3,9854
1,High,type2,0,545
3,Low,type2,0,6381
1,High,type2,3,6880
5,High,type2,0,5220
1,Low,type3,0,9319
6,High,type3,1,7118
3,High,type2,0,5279
3,High,type2,1,6216
1,Low,type1,0,7166
5,Low,type2,0,2992
6,Low,type1,3,7984
2,Low,type1,2,7233
3,Low,type3,3,5219
6,Low,type1,0,8966
6,High,type2,3,8589
5,High,type2,3,1029
6,Low,type1,3,8318
1,High,type1,1,98
3,Low,type1,1,9868
6,Low,type2,1,6333
6,High,type3,0,5748
3,High,type1,0,555
3,High,type3,3,9546
6,High,type3,3,3779
6,High,type3,0,7284
4,Low,type2,3,3298
2,Low,type2,0,9132
6,High,type2,1,3117
2,High,type3,1,703
4,High,type3,2,6504
4,Low,type2,1,9660
5,Low,type2,2,5292
1,Low,type1,2,5965
2,High,type2,0,4019
5,High,type2,3,6403
1,High,type2,1,1091
4,High,type3,0,3272
3,Low,type2,1,7962
5,Low,type1,1,1472
3,Low,type2,2,9775
1,Low,type3,2,8053
6,Low,type2,2,4605
3,Low,type2,2,9771
4,High,type2,3,1126
5,High,type3,3,2248
1,High,type1,0,4589
3,High,type3,0,9650
6,Low,type2,3,2756
6,Low,type1,0,7600
3,High,type2,3,3586
5,High,type2,0,5831
6,High,type2,0,9696
4,High,type2,3,7944
1,Low,type3,3,4963
2,Low,type3,3,2956
3,High,type2,1,8639
2,High,type1,2,7785
4,High,type2,2,4312
1,High,type2,0,1899
6,Low,type1,3,988
5,High,type1,0,3914
4,High,type3,0,68
4,Low,type2,2,9116
6,High,type3,2,8877
5,High,type1,3,3930
1,Low,type2,1,7937
5,Low,type2,0,8862
6,Low,type1,1,217
4,High,type3,1,5329
5,High,type1,0,9928
3,High,type2,0,9069
1,Low,type2,1,4357
5,Low,type1,2,8590
3,Low,type3,2,231
5,Low,type1,0,1800
1,Low,type1,0,7325
6,Low,type3,2,7796
6,Low,type1,0,5586
2,High,type3,1,4924
3,Low,type3,3,9119
6,High,type2,3,7036
3,High,type3,3,3484
1,Low,type1,1,3483
5,High,type2,1,4216
6,Low,type1,2,748
4,High,type3,1,7448
2,High,type3,2,3039
2,Low,type3,0,8898
2,High,type3,3,5516
1,Low,type2,3,7770
3,High,type1,1,1908
5,Low,type2,1,1
1,High,type2,1,1446
3,Low,type1,0,4558
3,High,type1,0,9731
6,Low,type3,2,9107
4,High,type2,1,4789
4,High,type2,2,1667
1,High,type2,2,3092
5,High,type2,3,7753
5,Low,type3,3,4311
6,Low,type2,3,826
2,Low,type2,0,8160
4,Low,type3,0,5969
5,High,type3,1,7927
6,Low,type1,1,4090
4,High,type1,1,2515
3,High,type3,3,2806
2,Low,type2,3,4724
