householdSize,householdIncome,householdType,numberOfCars,householdID
4,High,type3,3,0
4,Low,type2,2,1
1,High,type1,1,2
2,High,type3,0,3
5,High,type2,1,4
2,High,type3,0,5
2,High,type2,0,6
1,Low,type3,3,7
1,Low,type3,0,8
1,Low,type2,1,9
4,High,type2,3,10
6,Low,type3,3,11
3,High,type1,2,12
6,High,type3,0,13
3,High,type3,2,14
4,High,type2,0,15
5,High,type2,3,16
2,Low,type2,2,17
6,High,type2,2,18
2,Low,type1,1,19
2,High,type2,3,20
1,High,type2,1,21
5,High,type1,3,22
3,Low,type1,2,23
2,Low,type2,2,24
2,Low,type2,0,25
3,High,type1,2,26
2,Low,type1,3,27
5,High,type3,3,28
6,Low,type2,0,29
1,Low,type1,1,30
2,High,type3,3,31
3,High,type2,0,32
3,High,type3,0,33
6,High,type1,1,34
2,Low,type1,3,35
5,Low,type3,3,36
4,High,type2,0,37
4,High,type3,1,38
1,High,type2,1,39
3,Low,type2,0,40
2,High,type2,0,41
3,Low,type2,2,42
1,Low,type3,3,43
1,Low,type1,1,44
1,High,type3,2,45
2,High,type2,0,46
1,High,type1,0,47
5,High,type3,0,48
4,High,type3,2,49
5,Low,type1,0,50
5,Low,type1,3,51
5,High,type1,3,52
6,High,type3,3,53
4,High,type2,3,54
2,Low,type2,1,55
2,High,type2,3,56
5,High,type1,0,57
3,High,type3,1,58
6,Low,type3,3,59
6,High,type1,1,60
6,Low,type2,2,61
4,High,type2,2,62
4,High,type1,1,63
3,High,type1,2,64
5,High,type1,2,65
1,High,type2,0,66
4,Low,type2,3,67
1,High,type2,1,68
5,Low,type3,1,69
6,High,type1,3,70
3,Low,type1,2,71
3,High,type3,0,72
5,High,type3,1,73
6,High,type3,0,74
3,Low,type3,0,75
5,High,type2,3,76
6,Low,type1,1,77
4,Low,type2,1,78
5,Low,type2,3,79
2,Low,type2,0,80
2,High,type2,1,81
1,Low,type1,1,82
1,Low,type1,1,83
5,Low,type1,3,84
5,Low,type3,3,85
5,Low,type1,3,86
6,High,type3,3,87
1,Low,type1,3,88
6,High,type1,1,89
5,High,type2,0,90
6,Low,type3,3,91
5,High,type2,3,92
5,High,type1,2,93
1,High,type2,0,94
5,High,type1,3,95
1,High,type1,3,96
2,Low,type1,2,97
5,Low,type3,2,98
5,High,type3,0,99
6,High,type1,3,100
5,Low,type1,3,101
1,High,type1,3,102
2,Low,type2,1,103
4,Low,type3,2,104
5,High,type3,2,105
4,Low,type2,0,106
2,High,type2,3,107
1,High,type3,1,108
2,Low,type1,3,109
1,High,type1,3,110
3,High,type1,2,111
1,Low,type2,0,112
3,High,type1,3,113
5,High,type3,1,114
5,High,type1,1,115
1,Low,type1,0,116
2,Low,type1,1,117
2,Low,type1,0,118
6,Low,type1,0,119
6,Low,type2,2,120
1,Low,type2,1,121
4,High,type1,0,122
1,Low,type2,2,123
1,Low,type2,0,124
2,High,type2,2,125
3,Low,type3,0,126
3,Low,type2,0,127
1,High,type1,0,128
4,Low,type1,1,129
2,High,type1,1,130
6,Low,type1,0,131
2,Low,type2,3,132
4,Low,type1,1,133
6,Low,type2,1,134
3,Low,type1,0,135
1,High,type1,1,136
4,High,type2,0,137
6,High,type1,0,138
3,Low,type1,2,139
2,Low,type1,3,140
4,Low,type3,1,141
6,Low,type2,2,142
6,Low,type3,2,143
5,Low,type3,0,144
5,Low,type2,3,145
4,Low,type2,1,146
6,High,type1,3,147
2,High,type1,2,148
4,Low,type3,1,149
6,High,type2,1,150
2,High,type2,3,151
1,High,type3,3,152
5,High,type2,2,153
1,Low,type2,2,154
6,High,type2,2,155
1,Low,type3,1,156
2,Low,type1,1,157
1,Low,type1,3,158
5,High,type3,2,159
4,Low,type2,3,160
2,Low,type2,0,161
5,High,type2,2,162
2,High,type3,0,163
2,Low,type2,3,164
1,Low,type3,0,165
6,Low,type3,3,166
1,High,type1,3,167
5,Low,type1,1,168
1,High,type1,2,169
2,High,type3,1,170
2,High,type1,2,171
4,High,type1,0,172
1,High,type2,2,173
1,Low,type1,3,174
5,Low,type1,1,175
3,High,type1,0,176
4,Low,type1,0,177
3,Low,type2,3,178
1,High,type2,0,179
3,High,type2,2,180
3,Low,type3,3,181
1,Low,type1,2,182
1,High,type3,3,183
5,Low,type2,2,184
3,High,type1,2,185
1,High,type1,0,186
2,High,type2,0,187
4,High,type3,3,188
4,Low,type2,1,189
5,Low,type1,0,190
5,High,type1,0,191
2,Low,type3,0,192
6,Low,type2,1,193
4,Low,type2,0,194
3,High,type2,3,195
2,High,type3,0,196
1,Low,type2,2,197
2,High,type1,2,198
1,Low,type2,2,199
1,Low,type1,3,200
3,Low,type2,1,201
4,High,type1,3,202
4,Low,type2,2,203
6,Low,type1,3,204
2,High,type1,2,205
5,High,type2,1,206
5,High,type3,0,207
2,High,type1,3,208
3,High,type3,0,209
5,High,type1,1,210
6,High,type2,3,211
3,Low,type3,1,212
6,High,type3,0,213
3,High,type1,2,214
6,Low,type2,3,215
6,Low,type2,3,216
6,High,type3,1,217
2,Low,type1,1,218
3,High,type3,2,219
1,Low,type2,2,220
5,Low,type1,3,221
1,High,type3,3,222
4,High,type1,2,223
6,Low,type1,1,224
2,High,type2,3,225
4,High,type3,3,226
1,High,type1,3,227
5,High,type3,1,228
5,High,type2,2,229
5,High,type2,0,230
1,High,type1,1,231
4,High,type1,3,232
3,High,type3,2,233
3,High,type3,3,234
2,High,type3,0,235
6,Low,type3,3,236
2,Low,type1,2,237
2,High,type3,2,238
1,Low,type3,1,239
4,High,type2,3,240
3,Low,type1,3,241
5,Low,type2,1,242
4,High,type3,0,243
5,Low,type1,0,244
3,High,type3,3,245
5,High,type3,1,246
4,High,type1,2,247
5,Low,type2,0,248
3,Low,type2,2,249
4,High,type2,3,250
1,High,type3,2,251
3,Low,type2,1,252
6,Low,type2,0,253
4,High,type3,2,254
4,High,type1,0,255
1,High,type2,2,256
3,Low,type3,0,257
5,High,type3,3,258
5,Low,type1,2,259
6,High,type1,2,260
2,Low,type2,3,261
2,Low,type3,3,262
1,Low,type2,0,263
6,Low,type1,0,264
5,High,type1,0,265
1,Low,type3,2,266
1,High,type1,0,267
5,High,type1,2,268
3,High,type1,1,269
5,High,type3,3,270
4,High,type2,1,271
2,High,type2,3,272
5,High,type2,0,273
4,Low,type1,0,274
1,High,type2,2,275
4,Low,type2,3,276
1,Low,type3,2,277
5,High,type3,0,278
1,High,type2,0,279
4,High,type1,2,280
3,Low,type3,3,281
2,Low,type3,1,282
5,Low,type3,3,283
5,High,type2,3,284
5,Low,type2,0,285
3,High,type1,3,286
2,Low,type2,0,287
2,High,type2,0,288
1,Low,type3,1,289
6,High,type2,3,290
1,Low,type1,2,291
6,High,type2,3,292
1,High,type3,3,293
4,Low,type1,2,294
4,Low,type2,3,295
3,Low,type3,1,296
6,High,type3,0,297
4,High,type2,3,298
5,High,type3,0,299
1,High,type2,2,300
1,High,type3,0,301
4,High,type1,0,302
1,Low,type3,0,303
4,Low,type1,2,304
2,High,type1,3,305
5,Low,type1,1,306
2,High,type2,2,307
3,Low,type3,2,308
5,Low,type2,2,309
4,High,type1,2,310
1,Low,type1,0,311
2,High,type3,0,312
5,High,type3,0,313
4,Low,type3,2,314
4,High,type2,0,315
6,Low,type1,3,316
5,High,type3,2,317
1,High,type1,1,318
4,Low,type1,0,319
1,High,type2,3,320
3,High,type3,0,321
1,Low,type3,3,322
1,High,type3,0,323
1,Low,type1,3,324
1,Low,type3,1,325
4,High,type3,0,326
6,High,type2,1,327
6,Low,type3,1,328
2,Low,type1,2,329
1,High,type3,0,330
3,Low,type1,1,331
1,Low,type3,1,332
5,Low,type2,1,333
6,Low,type1,0,334
5,High,type3,0,335
3,High,type2,0,336
1,Low,type2,1,337
3,High,type1,0,338
2,Low,type2,3,339
2,Low,type2,2,340
2,High,type1,1,341
4,Low,type3,1,342
3,High,type3,3,343
2,High,type2,0,344
4,High,type1,0,345
4,Low,type1,1,346
1,High,type2,1,347
5,High,type1,3,348
6,High,type2,1,349
4,Low,type2,2,350
5,Low,type1,0,351
4,High,type2,0,352
1,High,type3,0,353
1,Low,type2,3,354
4,High,type3,1,355
2,High,type3,3,356
5,High,type2,3,357
1,Low,type3,3,358
1,High,type3,0,359
2,Low,type1,1,360
2,High,type2,0,361
1,High,type1,3,362
1,Low,type2,1,363
1,High,type1,1,364
3,High,type3,1,365
4,Low,type3,1,366
1,Low,type2,2,367
4,Low,type3,2,368
5,Low,type2,0,369
1,High,type2,1,370
4,High,type3,0,371
3,Low,type3,3,372
6,Low,type1,0,373
2,Low,type3,0,374
5,Low,type3,0,375
3,High,type2,1,376
5,Low,type3,1,377
3,High,type1,0,378
3,Low,type3,0,379
1,Low,type2,3,380
3,Low,type2,2,381
2,Low,type2,2,382
3,Low,type3,1,383
6,Low,type1,3,384
6,Low,type3,0,385
6,High,type2,2,386
1,Low,type3,2,387
5,Low,type2,0,388
4,High,type3,0,389
1,High,type3,2,390
4,Low,type3,3,391
6,High,type3,1,392
6,Low,type1,3,393
3,Low,type1,3,394
4,High,type2,3,395
2,High,type2,2,396
1,High,type3,3,397
3,High,type1,0,398
4,Low,type3,2,399
6,Low,type1,2,400
1,Low,type1,2,401
2,Low,type3,1,402
6,Low,type2,1,403
1,High,type3,0,404
4,High,type2,3,405
1,Low,type3,2,406
3,High,type3,1,407
3,Low,type1,3,408
5,Low,type3,1,409
4,Low,type1,2,410
5,High,type1,2,411
5,Low,type2,2,412
3,Low,type1,1,413
4,High,type3,3,414
5,Low,type2,2,415
5,High,type1,1,416
3,Low,type3,1,417
3,Low,type1,0,418
1,High,type3,3,419
3,High,type2,0,420
5,High,type2,2,421
4,Low,type2,2,422
2,High,type2,2,423
5,High,type2,3,424
1,Low,type2,3,425
6,Low,type2,3,426
6,High,type3,1,427
4,Low,type3,3,428
2,Low,type3,3,429
5,High,type3,2,430
1,High,type1,1,431
2,High,type1,2,432
1,Low,type3,0,433
1,Low,type1,2,434
3,Low,type3,2,435
6,High,type1,0,436
4,High,type1,1,437
4,Low,type1,0,438
6,High,type2,2,439
3,High,type3,1,440
1,Low,type1,3,441
4,Low,type3,2,442
2,Low,type2,0,443
6,High,type2,0,444
1,High,type3,1,445
5,Low,type1,3,446
1,Low,type1,2,447
5,Low,type2,2,448
3,Low,type3,3,449
6,Low,type1,0,450
3,High,type3,1,451
3,High,type2,2,452
1,Low,type3,1,453
3,Low,type1,2,454
4,Low,type1,1,455
2,Low,type2,1,456
1,Low,type1,3,457
1,High,type1,1,458
2,High,type1,3,459
2,Low,type3,2,460
5,High,type2,1,461
5,Low,type1,1,462
1,High,type3,1,463
1,Low,type2,1,464
3,Low,type2,1,465
1,Low,type3,3,466
1,Low,type1,3,467
6,Low,type2,3,468
3,High,type1,0,469
3,Low,type1,0,470
5,Low,type2,2,471
3,Low,type3,3,472
6,High,type1,0,473
1,High,type3,1,474
5,High,type2,2,475
5,High,type1,1,476
1,Low,type2,2,477
4,Low,type2,2,478
5,High,type3,2,479
5,High,type3,2,480
2,Low,type1,2,481
4,High,type3,1,482
2,High,type1,3,483
4,High,type2,1,484
1,Low,type1,1,485
5,High,type3,0,486
1,Low,type1,1,487
2,Low,type3,2,488
5,High,type3,3,489
4,Low,type3,2,490
4,Low,type1,1,491
1,High,type2,0,492
5,Low,type3,2,493
1,High,type1,2,494
3,Low,type2,0,495
2,Low,type1,2,496
6,High,type1,3,497
3,High,type3,1,498
3,Low,type2,2,499
6,High,type3,0,500
1,High,type1,3,501
1,Low,type3,2,502
1,Low,type1,2,503
