householdSize,householdIncome,householdType,numberOfCars,householdID
1,High,type3,0,0
1,High,type1,3,1
1,High,type1,0,2
1,High,type3,3,3
1,High,type1,1,4
1,High,type2,0,5
1,High,type2,0,6
1,High,type3,1,7
1,High,type1,3,8
1,High,type1,1,9
1,High,type1,3,10
1,High,type1,2,11
1,High,type1,3,12
1,High,type2,2,13
1,High,type2,2,14
1,High,type3,3,15
1,High,type2,2,16
1,High,type2,0,17
1,High,type1,3,18
1,High,type1,1,19
1,High,type1,0,20
1,High,type3,3,21
1,High,type1,0,22
1,High,type2,1,23
1,High,type2,0,24
1,High,type1,3,25
1,High,type3,1,26
1,High,type2,1,27
1,High,type1,0,28
1,High,type2,2,29
1,High,type1,1,30
1,High,type2,1,31
1,High,type3,3,32
1,High,type1,0,33
1,High,type1,1,34
1,High,type2,0,35
1,High,type1,2,36
1,High,type3,3,37
1,High,type2,1,38
1,High,type1,0,39
1,High,type1,1,40
1,High,type1,3,41
1,High,type3,1,42
1,High,type1,0,43
1,High,type3,1,44
1,High,type3,0,45
1,High,type2,1,46
1,High,type1,2,47
1,High,type2,2,48
1,High,type3,0,49
1,High,type1,0,50
1,High,type2,1,51
1,High,type2,2,52
1,High,type3,0,53
1,High,type1,2,54
1,High,type3,3,55
1,High,type1,3,56
1,High,type2,2,57
1,High,type1,2,58
1,High,type1,0,59
1,High,type3,3,60
1,High,type2,1,61
1,High,type2,0,62
1,High,type1,0,63
1,High,type3,0,64
1,High,type1,2,65
1,High,type2,2,66
1,High,type3,3,67
1,High,type3,3,68
1,High,type1,0,69
1,High,type1,1,70
1,High,type1,3,71
1,High,type1,2,72
1,High,type1,0,73
1,High,type2,1,74
1,High,type3,3,75
1,High,type1,3,76
1,High,type2,2,77
1,High,type3,3,78
1,High,type1,2,79
1,High,type1,0,80
1,High,type1,2,81
1,High,type3,3,82
1,High,type3,3,83
1,High,type1,0,84
1,High,type1,2,85
1,High,type2,0,86
1,High,type1,3,87
1,High,type1,0,88
1,High,type1,0,89
1,High,type1,2,90
1,High,type1,0,91
1,High,type2,0,92
1,High,type1,3,93
1,High,type1,3,94
1,High,type3,3,95
1,High,type3,0,96
1,High,type3,3,97
1,High,type3,0,98
1,High,type3,0,99
1,High,type2,0,100
1,High,type3,3,101
1,High,type3,3,102
1,High,type3,3,103
1,High,type3,3,104
1,High,type1,0,105
1,High,type2,2,106
1,High,type3,3,107
1,High,type2,1,108
1,High,type1,3,109
1,High,type1,1,110
1,High,type2,1,111
1,High,type1,0,112
1,High,type3,0,113
1,High,type1,0,114
1,High,type1,1,115
1,High,type3,3,116
1,High,type1,0,117
1,High,type1,0,118
1,High,type3,3,119
1,High,type1,1,120
1,High,type3,3,121
1,High,type2,1,122
1,High,type1,0,123
1,High,type3,3,124
1,High,type3,1,125
1,High,type1,2,126
1,High,type3,3,127
1,High,type1,2,128
1,High,type2,0,129
1,High,type1,0,130
1,High,type1,0,131
1,High,type2,0,132
1,High,type2,1,133
1,High,type3,3,134
1,High,type2,0,135
1,High,type3,3,136
1,High,type2,1,137
1,High,type2,2,138
1,High,type3,3,139
1,High,type2,2,140
1,High,type3,1,141
1,High,type1,0,142
1,High,type3,0,143
1,High,type1,1,144
1,High,type1,3,145
1,High,type1,0,146
1,High,type2,1,147
1,High,type3,3,148
1,High,type2,1,149
1,High,type2,2,150
1,High,type1,0,151
1,High,type1,0,152
1,High,type1,0,153
1,High,type1,0,154
1,High,type2,1,155
1,High,type2,2,156
1,High,type1,0,157
1,High,type1,0,158
1,High,type2,1,159
1,High,type3,3,160
1,High,type1,0,161
1,High,type3,3,162
1,High,type1,0,163
1,High,type2,2,164
1,High,type1,3,165
1,High,type1,1,166
1,High,type3,1,167
1,High,type3,1,168
1,High,type1,0,169
1,High,type3,3,170
1,High,type3,0,171
1,High,type1,3,172
1,High,type1,0,173
1,High,type1,3,174
1,High,type2,1,175
1,High,type2,0,176
1,High,type2,1,177
1,High,type3,0,178
1,High,type3,3,179
1,High,type1,0,180
1,High,type1,3,181
1,High,type1,0,182
1,High,type1,3,183
1,High,type3,1,184
1,High,type1,3,185
1,High,type3,3,186
1,High,type3,3,187
1,High,type2,0,188
1,High,type2,1,189
1,High,type3,0,190
1,High,type1,2,191
1,High,type1,0,192
1,High,type3,3,193
1,High,type1,3,194
1,High,type1,0,195
1,High,type2,2,196
1,High,type3,1,197
1,High,type3,3,198
1,High,type2,1,199
1,High,type2,2,200
1,High,type3,3,201
1,High,type2,1,202
1,High,type2,0,203
1,High,type1,1,204
1,High,type3,3,205
1,High,type1,3,206
1,High,type1,3,207
1,High,type1,1,208
1,High,type1,1,209
1,High,type1,3,210
1,High,type1,1,211
1,High,type1,0,212
1,High,type2,1,213
1,High,type1,0,214
1,High,type2,1,215
1,High,type1,1,216
1,High,type2,1,217
1,High,type3,1,218
1,High,type2,0,219
1,High,type1,0,220
1,High,type3,1,221
1,High,type1,0,222
1,High,type3,1,223
1,High,type2,0,224
1,High,type1,2,225
1,High,type3,3,226
1,High,type2,1,227
1,High,type1,2,228
1,High,type3,1,229
1,High,type3,3,230
1,High,type3,3,231
1,High,type1,1,232
1,High,type1,2,233
1,High,type1,0,234
1,High,type3,3,235
1,High,type3,3,236
1,High,type2,1,237
1,High,type3,3,238
1,High,type3,3,239
1,High,type3,3,240
1,High,type3,1,241
1,High,type1,0,242
1,High,type1,0,243
1,High,type2,1,244
1,High,type2,0,245
1,High,type1,0,246
1,High,type1,3,247
1,High,type1,0,248
1,High,type3,3,249
1,High,type2,2,250
1,High,type2,0,251
1,High,type2,1,252
1,High,type2,1,253
1,High,type1,3,254
1,High,type1,1,255
1,High,type3,0,256
1,High,type3,1,257
1,High,type1,2,258
1,High,type3,3,259
1,High,type1,2,260
1,High,type1,0,261
1,High,type2,0,262
1,High,type3,3,263
1,High,type2,1,264
1,High,type2,1,265
1,High,type1,0,266
1,High,type3,1,267
1,High,type2,2,268
1,High,type1,0,269
1,High,type2,0,270
1,High,type1,0,271
1,High,type2,2,272
1,High,type3,3,273
1,High,type1,0,274
1,High,type1,3,275
1,High,type2,0,276
1,High,type1,2,277
1,High,type2,0,278
1,High,type3,1,279
1,High,type2,1,280
1,High,type3,0,281
1,High,type1,0,282
1,High,type1,0,283
1,High,type3,1,284
1,High,type1,0,285
1,High,type2,1,286
1,High,type1,0,287
1,High,type2,1,288
1,High,type2,0,289
1,High,type3,1,290
1,High,type1,0,291
1,High,type2,2,292
1,High,type3,1,293
1,High,type2,0,294
1,High,type1,2,295
1,High,type3,3,296
1,High,type1,0,297
1,High,type3,0,298
1,High,type2,0,299
1,High,type1,0,300
1,High,type3,3,301
1,High,type3,3,302
1,High,type1,0,303
1,High,type3,3,304
1,High,type3,3,305
1,High,type1,0,306
1,High,type3,3,307
1,High,type3,3,308
1,High,type3,3,309
1,High,type2,1,310
1,High,type3,1,311
1,High,type3,1,312
1,High,type3,3,313
1,High,type1,0,314
1,High,type3,1,315
1,High,type1,1,316
1,High,type2,2,317
1,High,type3,3,318
1,High,type3,3,319
1,High,type3,3,320
1,High,type1,3,321
1,High,type3,3,322
1,High,type2,0,323
1,High,type1,0,324
1,High,type1,0,325
1,High,type3,1,326
1,High,type2,1,327
1,High,type1,3,328
1,High,type1,1,329
1,High,type3,1,330
1,High,type1,0,331
1,High,type1,2,332
1,High,type1,1,333
1,High,type1,3,334
1,High,type1,1,335
1,High,type3,3,336
1,High,type3,1,337
1,High,type3,3,338
1,High,type1,3,339
1,High,type1,2,340
1,High,type3,3,341
1,High,type1,3,342
1,High,type3,1,343
1,High,type2,1,344
1,High,type2,2,345
1,High,type3,3,346
1,High,type1,2,347
1,High,type1,0,348
1,High,type1,0,349
1,High,type1,0,350
1,High,type1,0,351
1,High,type2,1,352
1,High,type1,0,353
1,High,type1,3,354
1,High,type1,0,355
1,High,type2,1,356
1,High,type2,0,357
1,High,type3,1,358
1,High,type1,2,359
1,High,type1,0,360
1,High,type3,3,361
1,High,type3,3,362
1,High,type1,1,363
1,High,type3,3,364
1,High,type2,2,365
1,High,type1,0,366
1,High,type3,1,367
1,High,type1,1,368
1,High,type3,1,369
1,High,type3,0,370
1,High,type2,1,371
1,High,type2,1,372
1,High,type1,0,373
1,High,type2,2,374
1,High,type1,0,375
1,High,type3,3,376
1,High,type1,1,377
1,High,type2,0,378
1,High,type2,2,379
1,High,type2,1,380
1,High,type2,1,381
1,High,type3,1,382
1,High,type3,3,383
1,High,type1,0,384
1,High,type1,2,385
1,High,type2,1,386
1,High,type3,0,387
1,High,type2,2,388
1,High,type2,1,389
1,High,type1,0,390
1,High,type2,1,391
1,High,type2,2,392
1,High,type2,2,393
1,High,type2,2,394
1,High,type3,3,395
1,High,type2,0,396
1,High,type2,1,397
1,High,type1,2,398
1,High,type3,3,399
1,High,type2,0,400
1,High,type2,1,401
1,High,type1,2,402
1,High,type1,1,403
1,High,type2,0,404
1,High,type2,2,405
1,High,type3,0,406
1,High,type3,1,407
1,High,type3,1,408
1,High,type3,1,409
1,High,type3,1,410
1,High,type3,3,411
1,High,type1,3,412
1,High,type2,0,413
1,High,type1,3,414
1,High,type1,1,415
1,High,type1,0,416
1,High,type2,1,417
1,High,type3,1,418
1,High,type3,3,419
1,High,type3,0,420
1,High,type1,3,421
1,High,type1,1,422
1,High,type2,0,423
1,High,type2,1,424
1,High,type2,1,425
1,High,type3,3,426
1,High,type1,1,427
1,High,type1,3,428
1,High,type3,3,429
1,High,type3,3,430
1,High,type3,0,431
1,High,type2,0,432
1,High,type1,3,433
1,High,type2,1,434
1,High,type3,3,435
1,High,type3,1,436
1,High,type1,0,437
1,High,type2,1,438
1,High,type2,1,439
1,High,type2,2,440
1,High,type1,0,441
1,High,type3,3,442
1,High,type1,0,443
1,High,type3,1,444
1,High,type1,0,445
1,High,type1,1,446
1,High,type3,3,447
1,High,type2,1,448
1,High,type2,1,449
1,High,type1,0,450
1,High,type1,0,451
1,High,type1,0,452
1,High,type1,0,453
1,High,type3,3,454
1,High,type2,1,455
1,High,type2,0,456
1,High,type3,3,457
1,High,type2,1,458
1,High,type2,2,459
1,High,type1,0,460
1,High,type1,0,461
1,High,type1,3,462
1,High,type2,1,463
1,High,type1,0,464
1,High,type1,0,465
1,High,type2,1,466
1,High,type3,3,467
1,High,type3,0,468
1,High,type3,3,469
1,High,type1,3,470
1,High,type3,1,471
1,High,type2,0,472
1,High,type1,0,473
1,High,type1,0,474
1,High,type2,1,475
1,High,type1,1,476
1,High,type1,0,477
1,High,type2,1,478
1,High,type2,2,479
1,High,type1,2,480
1,High,type2,1,481
1,High,type2,1,482
1,High,type1,0,483
1,High,type1,0,484
1,High,type2,1,485
1,High,type1,3,486
1,High,type3,3,487
1,High,type1,1,488
1,High,type2,0,489
1,High,type2,0,490
1,High,type2,1,491
1,High,type1,1,492
1,High,type1,0,493
1,High,type2,0,494
1,High,type2,1,495
1,High,type3,1,496
1,High,type3,0,497
1,High,type3,1,498
1,High,type1,0,499
1,High,type1,0,500
1,High,type2,1,501
1,High,type1,0,502
1,High,type3,0,503
1,High,type3,3,504
1,High,type3,3,505
1,High,type1,0,506
1,High,type1,0,507
1,High,type2,1,508
1,High,type2,1,509
1,High,type1,3,510
1,High,type1,0,511
1,High,type1,1,512
1,High,type3,1,513
1,High,type3,1,514
1,High,type3,3,515
1,High,type3,1,516
1,High,type2,1,517
1,High,type1,1,518
1,High,type2,1,519
1,High,type2,1,520
1,High,type1,3,521
1,High,type2,1,522
1,High,type1,2,523
1,High,type1,2,524
1,High,type3,3,525
1,High,type2,1,526
1,High,type3,3,527
1,High,type1,3,528
1,High,type3,3,529
1,High,type2,1,530
1,High,type2,2,531
1,High,type2,2,532
1,High,type1,3,533
1,High,type3,3,534
1,High,type3,0,535
1,High,type1,0,536
1,High,type2,1,537
1,High,type3,3,538
1,High,type2,1,539
1,High,type1,1,540
1,High,type1,3,541
1,High,type2,0,542
1,High,type2,1,543
1,High,type2,1,544
1,High,type1,2,545
1,High,type2,1,546
1,High,type3,0,547
1,High,type1,0,548
1,High,type3,0,549
1,High,type3,3,550
1,High,type2,2,551
1,High,type3,3,552
1,High,type1,2,553
1,High,type3,0,554
1,High,type1,3,555
1,High,type2,1,556
1,High,type1,0,557
1,High,type2,0,558
1,High,type1,1,559
1,High,type1,3,560
1,High,type1,0,561
1,High,type1,2,562
1,High,type1,3,563
1,High,type1,0,564
1,High,type1,2,565
1,High,type3,0,566
1,High,type1,0,567
1,High,type2,2,568
1,High,type1,1,569
1,High,type2,1,570
1,High,type1,3,571
1,High,type1,0,572
1,High,type1,0,573
1,High,type1,0,574
1,High,type2,0,575
1,High,type1,2,576
1,High,type1,1,577
1,High,type1,0,578
1,High,type2,1,579
1,High,type2,0,580
1,High,type1,0,581
1,High,type3,0,582
1,High,type3,0,583
1,High,type1,0,584
1,High,type2,0,585
1,High,type3,3,586
1,High,type1,1,587
1,High,type3,3,588
1,High,type3,3,589
1,High,type1,0,590
1,High,type1,0,591
1,High,type2,1,592
1,High,type1,1,593
1,High,type3,1,594
1,High,type1,1,595
1,High,type1,0,596
1,High,type1,0,597
1,High,type2,1,598
1,High,type2,1,599
1,High,type1,1,600
1,High,type1,0,601
1,High,type1,3,602
1,High,type1,0,603
1,High,type3,3,604
1,High,type1,1,605
1,High,type1,0,606
1,High,type2,2,607
1,High,type1,1,608
1,High,type1,0,609
1,High,type1,0,610
1,High,type2,0,611
1,High,type3,1,612
1,High,type3,0,613
1,High,type3,3,614
1,High,type1,1,615
1,High,type1,1,616
1,High,type3,1,617
1,High,type1,0,618
1,High,type3,3,619
1,High,type3,1,620
1,High,type2,2,621
1,High,type1,0,622
1,High,type3,1,623
1,High,type1,2,624
1,High,type1,2,625
1,High,type2,2,626
1,High,type2,1,627
1,High,type2,1,628
1,High,type1,2,629
1,High,type1,1,630
1,High,type1,0,631
1,High,type3,0,632
1,High,type1,0,633
1,High,type2,1,634
1,High,type1,2,635
1,High,type1,3,636
1,High,type3,3,637
1,High,type2,0,638
1,High,type1,2,639
1,High,type1,1,640
1,High,type1,0,641
1,High,type3,3,642
1,High,type1,3,643
1,High,type1,3,644
1,High,type3,3,645
1,High,type1,1,646
1,High,type3,0,647
1,High,type1,0,648
1,High,type2,0,649
1,High,type1,3,650
1,High,type3,1,651
1,High,type3,0,652
1,High,type3,0,653
1,High,type1,1,654
1,High,type2,1,655
1,High,type1,0,656
1,High,type1,0,657
1,High,type1,0,658
1,High,type3,1,659
1,High,type2,1,660
1,High,type2,2,661
1,High,type1,0,662
1,High,type1,0,663
1,High,type2,1,664
1,High,type1,0,665
1,High,type2,1,666
1,High,type1,2,667
1,High,type1,2,668
1,High,type2,1,669
1,High,type1,1,670
1,High,type1,1,671
1,High,type1,0,672
1,High,type3,3,673
1,High,type3,3,674
1,High,type3,1,675
1,High,type2,0,676
