HouseholdSize:Output,Household Income:Output,Household Type:Output,Number Of Cars:Output,Frequency
1,High,type1,0,416
1,High,type1,1,137
1,High,type1,2,129
1,High,type1,3,128
1,High,type2,0,145
1,High,type2,1,279
1,High,type2,2,130
1,High,type2,3,0
1,High,type3,0,120
1,High,type3,1,145
1,High,type3,2,0
1,High,type3,3,286
1,Low,type1,0,351
1,Low,type1,1,0
1,Low,type1,2,0
1,Low,type1,3,167
1,Low,type2,0,0
1,Low,type2,1,0
1,Low,type2,2,173
1,Low,type2,3,338
1,Low,type3,0,0
1,Low,type3,1,161
1,Low,type3,2,159
1,Low,type3,3,171
2,High,type1,0,0
2,High,type1,1,222
2,High,type1,2,0
2,High,type1,3,0
2,High,type2,0,224
2,High,type2,1,194
2,High,type2,2,0
2,High,type2,3,225
2,High,type3,0,0
2,High,type3,1,211
2,High,type3,2,208
2,High,type3,3,454
2,Low,type1,0,0
2,Low,type1,1,0
2,Low,type1,2,502
2,Low,type1,3,0
2,Low,type2,0,0
2,Low,type2,1,0
2,Low,type2,2,0
2,Low,type2,3,0
2,Low,type3,0,266
2,Low,type3,1,268
2,Low,type3,2,266
2,Low,type3,3,306
3,High,type1,0,249
3,High,type1,1,0
3,High,type1,2,251
3,High,type1,3,0
3,High,type2,0,481
3,High,type2,1,0
3,High,type2,2,0
3,High,type2,3,0
3,High,type3,0,201
3,High,type3,1,0
3,High,type3,2,0
3,High,type3,3,0
3,Low,type1,0,0
3,Low,type1,1,0
3,Low,type1,2,0
3,Low,type1,3,0
3,Low,type2,0,0
3,Low,type2,1,293
3,Low,type2,2,0
3,Low,type2,3,308
3,Low,type3,0,312
3,Low,type3,1,277
3,Low,type3,2,276
3,Low,type3,3,577
4,High,type1,0,0
4,High,type1,1,0
4,High,type1,2,228
4,High,type1,3,209
4,High,type2,0,660
4,High,type2,1,244
4,High,type2,2,0
4,High,type2,3,219
4,High,type3,0,209
4,High,type3,1,0
4,High,type3,2,0
4,High,type3,3,207
4,Low,type1,0,0
4,Low,type1,1,554
4,Low,type1,2,0
4,Low,type1,3,0
4,Low,type2,0,520
4,Low,type2,1,0
4,Low,type2,2,0
4,Low,type2,3,0
4,Low,type3,0,0
4,Low,type3,1,0
4,Low,type3,2,281
4,Low,type3,3,0
5,High,type1,0,0
5,High,type1,1,138
5,High,type1,2,0
5,High,type1,3,0
5,High,type2,0,0
5,High,type2,1,319
5,High,type2,2,0
5,High,type2,3,153
5,High,type3,0,167
5,High,type3,1,0
5,High,type3,2,146
5,High,type3,3,163
5,Low,type1,0,177
5,Low,type1,1,403
5,Low,type1,2,0
5,Low,type1,3,193
5,Low,type2,0,184
5,Low,type2,1,368
5,Low,type2,2,190
5,Low,type2,3,0
5,Low,type3,0,0
5,Low,type3,1,0
5,Low,type3,2,379
5,Low,type3,3,403
6,High,type1,0,710
6,High,type1,1,172
6,High,type1,2,158
6,High,type1,3,0
6,High,type2,0,312
6,High,type2,1,0
6,High,type2,2,168
6,High,type2,3,169
6,High,type3,0,0
6,High,type3,1,185
6,High,type3,2,155
6,High,type3,3,0
6,Low,type1,0,0
6,Low,type1,1,0
6,Low,type1,2,395
6,Low,type1,3,0
6,Low,type2,0,225
6,Low,type2,1,0
6,Low,type2,2,191
6,Low,type2,3,0
6,Low,type3,0,232
6,Low,type3,1,0
6,Low,type3,2,209
6,Low,type3,3,0
