householdSize,householdIncome,householdType,numberOfCars,householdID
1,High,type3,3,0
1,High,type3,1,1
1,High,type1,2,2
1,High,type3,3,3
1,High,type3,2,4
1,High,type1,3,5
1,High,type2,2,6
1,High,type2,0,7
1,High,type3,3,8
1,High,type3,3,9
1,High,type1,1,10
1,High,type2,3,11
1,High,type1,1,12
1,High,type2,0,13
1,High,type2,2,14
1,High,type1,1,15
1,High,type3,3,16
1,High,type1,3,17
1,High,type2,0,18
1,High,type2,1,19
1,High,type3,2,20
1,High,type3,0,21
1,High,type3,3,22
1,High,type3,1,23
1,High,type1,3,24
1,High,type3,2,25
1,High,type1,2,26
1,High,type2,0,27
1,High,type1,1,28
1,High,type3,2,29
1,High,type1,3,30
1,High,type1,1,31
1,High,type2,1,32
1,High,type2,3,33
1,High,type3,3,34
1,High,type1,2,35
1,High,type3,3,36
1,High,type3,1,37
1,High,type2,2,38
1,High,type1,0,39
1,High,type1,1,40
1,High,type2,0,41
1,High,type3,2,42
1,High,type1,3,43
1,High,type3,2,44
1,High,type1,2,45
1,High,type3,1,46
1,High,type1,1,47
1,High,type3,3,48
1,High,type1,1,49
1,High,type2,0,50
1,High,type1,0,51
1,High,type2,3,52
1,High,type3,1,53
1,High,type3,3,54
1,High,type2,0,55
1,High,type1,1,56
1,High,type1,2,57
1,High,type1,2,58
1,High,type2,3,59
1,High,type1,3,60
1,High,type2,0,61
1,High,type1,2,62
1,High,type3,1,63
1,High,type1,1,64
1,High,type3,3,65
1,High,type3,0,66
1,High,type1,0,67
1,High,type3,1,68
1,High,type2,1,69
1,High,type3,3,70
1,High,type2,3,71
1,High,type3,2,72
1,High,type3,3,73
1,High,type1,1,74
1,High,type1,3,75
1,High,type2,3,76
1,High,type2,2,77
1,High,type3,1,78
1,High,type3,1,79
1,High,type2,0,80
1,High,type1,1,81
1,High,type2,2,82
1,High,type3,3,83
1,High,type3,1,84
1,High,type2,1,85
1,High,type2,1,86
1,High,type3,0,87
1,High,type2,1,88
1,High,type2,3,89
1,High,type1,1,90
1,High,type1,0,91
1,High,type1,1,92
1,High,type1,3,93
1,High,type1,3,94
1,High,type2,3,95
1,High,type2,0,96
1,High,type1,1,97
1,High,type3,0,98
1,High,type1,0,99
1,High,type1,2,100
1,High,type2,1,101
1,High,type2,0,102
1,High,type1,1,103
1,High,type3,3,104
1,High,type2,1,105
1,High,type2,0,106
1,High,type2,3,107
1,High,type2,3,108
1,High,type2,3,109
1,High,type2,3,110
1,High,type1,1,111
1,High,type1,3,112
1,High,type1,1,113
1,High,type1,2,114
1,High,type1,2,115
1,High,type3,0,116
1,High,type1,2,117
1,High,type2,1,118
1,High,type3,1,119
1,High,type2,2,120
1,High,type1,0,121
1,High,type3,2,122
1,High,type2,0,123
1,High,type2,3,124
1,High,type1,1,125
1,High,type1,2,126
1,High,type1,2,127
1,High,type1,0,128
1,High,type1,1,129
1,High,type2,0,130
1,High,type3,2,131
1,High,type1,1,132
1,High,type3,3,133
1,High,type2,3,134
1,High,type3,1,135
1,High,type3,1,136
1,High,type2,1,137
1,High,type1,1,138
1,High,type1,1,139
1,High,type1,3,140
1,High,type2,0,141
1,High,type1,2,142
1,High,type2,3,143
1,High,type1,1,144
1,High,type1,3,145
1,High,type3,0,146
1,High,type1,3,147
1,High,type1,0,148
1,High,type1,0,149
1,High,type1,3,150
1,High,type2,3,151
1,High,type2,3,152
1,High,type1,2,153
1,High,type1,0,154
1,High,type3,3,155
1,High,type3,3,156
1,High,type2,0,157
1,High,type2,2,158
1,High,type1,1,159
1,High,type1,3,160
1,High,type3,3,161
1,High,type3,2,162
1,High,type3,0,163
1,High,type3,2,164
1,High,type3,1,165
1,High,type1,0,166
1,High,type3,1,167
1,High,type2,0,168
1,High,type2,2,169
1,High,type1,3,170
1,High,type1,3,171
1,High,type3,2,172
1,High,type1,3,173
1,High,type1,2,174
1,High,type3,3,175
1,High,type1,3,176
1,High,type3,3,177
1,High,type1,3,178
1,High,type1,2,179
1,High,type2,2,180
1,High,type1,2,181
1,High,type2,1,182
1,High,type1,3,183
1,High,type3,2,184
1,High,type2,2,185
1,High,type3,3,186
1,High,type3,2,187
1,High,type1,1,188
1,High,type2,1,189
1,High,type2,2,190
1,High,type3,0,191
1,High,type1,2,192
1,High,type3,2,193
1,High,type3,2,194
1,High,type3,3,195
1,High,type3,2,196
1,High,type1,2,197
1,High,type3,2,198
1,High,type3,3,199
1,High,type1,0,200
1,High,type1,2,201
1,High,type3,1,202
1,High,type3,0,203
1,High,type1,0,204
1,High,type1,3,205
1,High,type2,0,206
1,High,type3,1,207
1,High,type2,0,208
1,High,type1,2,209
1,High,type3,0,210
1,High,type1,2,211
1,High,type3,2,212
1,High,type3,3,213
1,High,type1,0,214
1,High,type3,3,215
1,High,type1,3,216
1,High,type2,3,217
1,High,type3,2,218
1,High,type1,0,219
1,High,type2,3,220
1,High,type1,1,221
1,High,type2,1,222
1,High,type2,1,223
1,High,type2,3,224
1,High,type1,2,225
1,High,type1,2,226
1,High,type2,2,227
1,High,type1,1,228
1,High,type2,3,229
1,High,type3,1,230
1,High,type3,1,231
1,High,type2,0,232
1,High,type1,0,233
1,High,type2,0,234
1,High,type1,2,235
1,High,type1,1,236
1,High,type1,2,237
1,High,type2,0,238
1,High,type2,1,239
1,High,type1,1,240
1,High,type2,3,241
1,High,type1,0,242
1,High,type2,3,243
1,High,type1,1,244
1,High,type1,1,245
1,High,type3,0,246
1,High,type3,1,247
1,High,type3,3,248
1,High,type2,3,249
1,High,type3,2,250
1,High,type1,0,251
1,High,type1,3,252
1,High,type2,2,253
1,High,type1,2,254
1,High,type1,3,255
1,High,type2,0,256
1,High,type1,2,257
1,High,type1,2,258
1,High,type1,2,259
1,High,type3,3,260
1,High,type3,3,261
1,High,type3,3,262
1,High,type1,2,263
1,High,type1,2,264
1,High,type1,1,265
1,High,type2,2,266
1,High,type1,2,267
1,High,type1,0,268
1,High,type1,1,269
1,High,type1,2,270
1,High,type2,2,271
1,High,type1,2,272
1,High,type1,2,273
1,High,type1,1,274
1,High,type2,1,275
1,High,type1,0,276
1,High,type1,0,277
1,High,type2,2,278
1,High,type1,0,279
1,High,type1,3,280
1,High,type3,2,281
1,High,type1,3,282
1,High,type1,1,283
1,High,type1,3,284
1,High,type2,1,285
1,High,type3,3,286
1,High,type2,0,287
1,High,type2,1,288
1,High,type1,2,289
1,High,type3,2,290
1,High,type2,1,291
1,High,type1,3,292
1,High,type1,3,293
1,High,type1,3,294
1,High,type3,2,295
1,High,type2,0,296
1,High,type1,2,297
1,High,type1,3,298
1,High,type1,3,299
1,High,type2,0,300
1,High,type3,2,301
1,High,type3,3,302
1,High,type3,3,303
1,High,type3,1,304
1,High,type2,2,305
1,High,type2,1,306
1,High,type3,1,307
1,High,type2,1,308
1,High,type1,0,309
1,High,type1,2,310
1,High,type3,0,311
1,High,type1,3,312
1,High,type3,3,313
1,High,type1,2,314
1,High,type3,0,315
1,High,type3,3,316
1,High,type2,2,317
1,High,type1,2,318
1,High,type2,2,319
1,High,type1,1,320
1,High,type3,2,321
1,High,type1,0,322
1,High,type2,3,323
1,High,type3,0,324
1,High,type1,1,325
1,High,type2,1,326
1,High,type2,2,327
1,High,type2,3,328
1,High,type1,3,329
1,High,type1,0,330
1,High,type1,3,331
1,High,type1,0,332
1,High,type3,1,333
1,High,type1,2,334
1,High,type1,0,335
1,High,type1,3,336
1,High,type3,1,337
1,High,type1,2,338
1,High,type3,3,339
1,High,type2,0,340
1,High,type3,0,341
1,High,type1,2,342
1,High,type1,1,343
1,High,type3,3,344
1,High,type1,3,345
1,High,type3,3,346
1,High,type1,3,347
1,High,type1,2,348
1,High,type3,3,349
1,High,type1,0,350
1,High,type3,0,351
1,High,type3,0,352
1,High,type1,2,353
1,High,type1,1,354
1,High,type1,1,355
1,High,type3,2,356
1,High,type1,2,357
1,High,type3,0,358
1,High,type3,1,359
1,High,type3,2,360
1,High,type3,2,361
1,High,type2,0,362
1,High,type3,3,363
