HouseholdSize:Output,Household Income:Output,Household Type:Output,Number Of Cars:Output,Frequency
1,High,type1,0,84
1,High,type1,1,117
1,High,type1,2,100
1,High,type1,3,292
1,High,type2,0,0
1,High,type2,1,406
1,High,type2,2,0
1,High,type2,3,303
1,High,type3,0,89
1,High,type3,1,99
1,High,type3,2,96
1,High,type3,3,101
1,Low,type1,0,232
1,Low,type1,1,85
1,Low,type1,2,324
1,Low,type1,3,114
1,Low,type2,0,119
1,Low,type2,1,0
1,Low,type2,2,221
1,Low,type2,3,108
1,Low,type3,0,104
1,Low,type3,1,227
1,Low,type3,2,0
1,Low,type3,3,214
2,High,type1,0,312
2,High,type1,1,0
2,High,type1,2,0
2,High,type1,3,0
2,High,type2,0,210
2,High,type2,1,310
2,High,type2,2,0
2,High,type2,3,112
2,High,type3,0,105
2,High,type3,1,99
2,High,type3,2,217
2,High,type3,3,339
2,Low,type1,0,0
2,Low,type1,1,227
2,Low,type1,2,226
2,Low,type1,3,0
2,Low,type2,0,0
2,Low,type2,1,327
2,Low,type2,2,125
2,Low,type2,3,367
2,Low,type3,0,0
2,Low,type3,1,118
2,Low,type3,2,130
2,Low,type3,3,122
3,High,type1,0,97
3,High,type1,1,80
3,High,type1,2,86
3,High,type1,3,183
3,High,type2,0,89
3,High,type2,1,72
3,High,type2,2,81
3,High,type2,3,158
3,High,type3,0,0
3,High,type3,1,237
3,High,type3,2,0
3,High,type3,3,274
3,Low,type1,0,99
3,Low,type1,1,0
3,Low,type1,2,78
3,Low,type1,3,399
3,Low,type2,0,364
3,Low,type2,1,188
3,Low,type2,2,175
3,Low,type2,3,0
3,Low,type3,0,185
3,Low,type3,1,89
3,Low,type3,2,208
3,Low,type3,3,83
4,High,type1,0,222
4,High,type1,1,0
4,High,type1,2,340
4,High,type1,3,130
4,High,type2,0,308
4,High,type2,1,213
4,High,type2,2,0
4,High,type2,3,281
4,High,type3,0,113
4,High,type3,1,93
4,High,type3,2,0
4,High,type3,3,109
4,Low,type1,0,222
4,Low,type1,1,117
4,Low,type1,2,245
4,Low,type1,3,0
4,Low,type2,0,125
4,Low,type2,1,108
4,Low,type2,2,0
4,Low,type2,3,219
4,Low,type3,0,269
4,Low,type3,1,0
4,Low,type3,2,0
4,Low,type3,3,217
5,High,type1,0,75
5,High,type1,1,309
5,High,type1,2,228
5,High,type1,3,0
5,High,type2,0,242
5,High,type2,1,0
5,High,type2,2,80
5,High,type2,3,0
5,High,type3,0,221
5,High,type3,1,134
5,High,type3,2,140
5,High,type3,3,142
5,Low,type1,0,239
5,Low,type1,1,153
5,Low,type1,2,0
5,Low,type1,3,273
5,Low,type2,0,186
5,Low,type2,1,0
5,Low,type2,2,82
5,Low,type2,3,103
5,Low,type3,0,402
5,Low,type3,1,312
5,Low,type3,2,0
5,Low,type3,3,61
6,High,type1,0,201
6,High,type1,1,123
6,High,type1,2,0
6,High,type1,3,0
6,High,type2,0,0
6,High,type2,1,0
6,High,type2,2,382
6,High,type2,3,446
6,High,type3,0,201
6,High,type3,1,234
6,High,type3,2,0
6,High,type3,3,210
6,Low,type1,0,0
6,Low,type1,1,124
6,Low,type1,2,0
6,Low,type1,3,135
6,Low,type2,0,123
6,Low,type2,1,128
6,Low,type2,2,135
6,Low,type2,3,231
6,Low,type3,0,107
6,Low,type3,1,0
6,Low,type3,2,365
6,Low,type3,3,136
