householdID,householdSize,householdIncome,householdType,numberOfCars
0,1,Low,type3,0
1,1,High,type3,3
2,1,High,type1,3
3,1,Low,type1,1
4,3,High,type1,1
5,3,High,type3,3
6,2,High,type2,0
7,2,Low,type3,3
8,1,Low,type3,0
9,1,High,type1,3
10,3,High,type3,1
11,1,Low,type1,2
12,2,Low,type3,0
13,3,High,type1,3
14,2,High,type1,1
15,1,High,type2,1
16,2,High,type2,2
17,1,Low,type2,2
18,3,Low,type3,3
19,3,Low,type3,0
20,3,High,type2,0
21,2,Low,type1,0
22,1,Low,type3,2
23,1,High,type2,3
24,2,Low,type3,0
25,2,Low,type1,0
26,1,High,type3,3
27,1,High,type3,0
28,3,Low,type3,2
29,3,Low,type1,1
30,3,High,type3,2
31,1,High,type1,0
32,2,High,type3,2
33,3,High,type3,0
34,2,High,type3,0
35,3,High,type2,2
36,1,High,type1,3
37,2,Low,type3,2
38,2,High,type1,3
39,1,High,type1,2
40,2,Low,type2,1
41,1,High,type1,0
42,1,High,type1,3
43,3,Low,type2,1
44,3,Low,type1,3
45,1,Low,type3,1
46,1,High,type1,1
47,3,Low,type3,2
48,3,Low,type1,3
49,1,Low,type1,1
50,3,Low,type3,2
51,3,Low,type2,2
52,2,Low,type3,0
53,3,High,type1,0
54,2,Low,type1,2
55,3,High,type2,2
56,1,Low,type2,0
57,1,Low,type1,2
58,3,Low,type3,1
59,1,Low,type2,3
60,3,High,type2,3
61,3,High,type3,3
62,2,Low,type3,3
63,1,High,type2,3
64,1,High,type1,1
65,1,Low,type1,2
66,1,Low,type2,3
67,3,Low,type1,0
68,1,Low,type1,0
69,3,Low,type3,0
70,3,Low,type2,2
71,2,High,type1,1
72,3,High,type2,3
73,1,High,type1,1
74,3,Low,type3,3
75,1,Low,type1,0
76,1,Low,type1,2
77,1,Low,type2,2
78,1,Low,type2,3
79,3,High,type2,2
80,2,Low,type3,1
81,2,High,type1,0
82,1,High,type2,2
83,2,High,type3,0
84,2,Low,type3,2
85,2,High,type1,0
86,1,Low,type3,1
87,2,Low,type2,1
88,1,Low,type1,1
89,3,Low,type2,3
90,1,High,type3,3
91,1,Low,type2,3
92,3,Low,type2,0
93,1,High,type1,1
94,3,Low,type2,2
95,3,High,type2,0
96,2,High,type1,2
97,3,Low,type1,2
98,3,High,type2,2
99,3,High,type2,2
