age,gender,work,householdID
11,false,work2,0
19,true,work2,1
1,true,work1,2
17,true,work2,3
13,false,work2,4
16,true,work1,5
13,true,work2,6
12,false,work2,7
10,false,work1,8
20,false,work2,9
16,false,work2,10
2,false,work1,11
2,false,work1,12
5,false,work2,13
20,false,work1,14
18,false,work1,15
17,true,work2,15
10,false,work1,16
17,false,work1,16
1,true,work2,17
1,false,work1,17
1,true,work1,18
2,true,work2,18
17,false,work1,19
2,false,work2,19
18,false,work1,20
2,true,work2,20
18,false,work1,21
4,false,work2,21
0,false,work2,22
10,true,work2,22
2,true,work2,23
19,false,work2,23
5,false,work1,24
10,false,work1,24
16,false,work2,25
6,false,work2,25
13,false,work1,26
6,false,work1,26
17,true,work2,27
19,true,work2,27
8,true,work2,28
20,false,work1,28
18,true,work2,29
18,true,work1,29
19,true,work1,30
17,true,work2,31
19,true,work2,32
19,true,work2,33
16,false,work2,34
20,false,work1,35
17,true,work2,36
12,false,work1,37
19,false,work1,38
7,false,work1,39
8,true,work1,40
1,false,work1,41
1,true,work2,42
9,false,work2,43
17,false,work2,44
17,true,work2,45
20,false,work2,45
7,false,work1,46
17,false,work2,46
17,true,work2,47
20,true,work2,47
16,true,work1,48
4,true,work2,48
16,true,work2,49
18,true,work2,49
18,true,work1,50
18,false,work2,50
11,true,work1,51
7,true,work1,51
9,false,work2,52
10,true,work1,52
13,false,work1,53
20,true,work1,53
1,true,work1,54
3,false,work1,54
20,false,work2,55
20,false,work1,55
3,true,work2,56
7,true,work2,56
15,true,work2,57
7,false,work2,57
16,false,work2,58
1,true,work1,58
18,false,work2,59
20,true,work2,59
17,false,work1,60
20,true,work2,61
18,false,work2,62
20,true,work1,63
17,false,work2,64
16,true,work2,65
12,false,work1,66
16,true,work2,67
7,true,work1,68
17,false,work1,69
17,true,work1,70
12,false,work1,71
18,true,work2,72
4,true,work1,73
13,false,work1,74
20,true,work2,75
16,true,work2,75
20,true,work2,76
14,false,work1,76
17,false,work2,77
20,true,work1,77
7,false,work2,78
19,true,work2,78
16,false,work2,79
17,false,work1,79
1,false,work1,80
17,false,work2,80
18,false,work1,81
19,false,work2,81
18,true,work1,82
16,true,work2,82
4,false,work1,83
19,true,work1,83
12,true,work1,84
9,true,work2,84
16,true,work2,85
16,false,work2,85
17,false,work2,86
20,false,work2,86
0,false,work2,87
17,false,work1,87
14,false,work1,88
9,true,work1,88
1,false,work1,89
12,true,work1,89
17,true,work1,90
5,true,work2,91
14,true,work2,92
18,false,work1,93
18,false,work2,94
16,false,work2,95
0,true,work1,96
20,false,work2,97
4,true,work1,98
19,true,work2,99
20,false,work2,100
16,true,work2,101
3,true,work2,102
20,false,work1,103
7,false,work2,104
20,false,work2,105
19,true,work2,105
18,true,work2,106
20,false,work1,106
12,false,work1,107
19,false,work2,107
17,true,work2,108
16,true,work2,108
18,true,work2,109
3,true,work2,109
3,false,work1,110
3,false,work2,110
10,true,work2,111
2,false,work2,111
3,false,work1,112
19,true,work2,112
0,false,work1,113
13,true,work1,113
20,true,work1,114
17,true,work1,114
5,false,work1,115
17,false,work1,115
19,true,work2,116
6,false,work2,116
18,false,work2,117
17,false,work1,117
5,true,work1,118
14,true,work2,118
19,true,work1,119
6,true,work1,119
