age,gender,work
26,true,artisant
67,true,militaire
94,true,retraite
32,false,ecolier
82,true,employe_prive
14,true,ouvrier_agricole
6,false,enseignant
46,true,ecolier
28,true,retraite
76,false,enseignant
57,true,ouvrier
77,true,employe_prive
98,true,ouvrier
24,false,agriculteur
47,false,militaire
37,true,ouvrier_agricole
77,false,ouvrier_batiment
69,true,enseignant
20,true,sans_activite
16,true,agriculteur
73,true,conducteur
17,true,ecolier
97,true,retraite
80,false,militaire
15,false,ouvrier_agricole
34,true,sans_activite
48,false,enseignant
40,true,ouvrier_batiment
51,true,ouvrier_agricole
43,true,employe_prive
21,false,ouvrier_batiment
20,true,conducteur
23,true,retraite
28,false,conducteur
13,true,agriculteur
67,false,ouvrier_agricole
11,true,agriculteur
25,true,conducteur
14,false,retraite
89,false,agriculteur
30,true,conducteur
52,false,retraite
53,true,ecolier
16,false,retraite
78,false,conducteur
53,false,conducteur
26,true,conducteur
8,true,artisant
14,false,commercant
10,true,ouvrier
60,true,artisant
25,true,retraite
71,true,conducteur
62,true,retraite
55,true,artisant
71,true,ouvrier
85,false,militaire
1,true,conducteur
25,false,ouvrier_batiment
2,false,enseignant
16,false,artisant
21,true,retraite
52,true,ouvrier_agricole
64,false,ouvrier_agricole
23,true,employe_prive
19,false,sans_activite
4,true,artisant
20,true,militaire
17,false,ouvrier_batiment
77,false,artisant
18,true,retraite
87,true,agriculteur
48,false,enseignant
28,true,ecolier
94,true,retraite
29,false,ouvrier_agricole
59,true,ouvrier_batiment
37,true,employe_prive
19,false,employe_prive
60,true,ouvrier
76,true,artisant
24,true,artisant
3,false,employe_prive
61,false,sans_activite
20,false,commercant
16,true,enseignant
51,false,ouvrier_agricole
78,false,militaire
88,false,sans_activite
56,true,ouvrier_batiment
52,false,militaire
1,true,artisant
66,true,enseignant
75,false,ecolier
91,false,conducteur
16,true,retraite
35,true,enseignant
8,true,commercant
59,false,ecolier
2,false,enseignant
