householdID,householdSize,householdIncome,householdType,numberOfCars
0,3,High,type1,3
1,1,Low,type2,1
2,3,High,type3,2
3,2,High,type2,2
4,1,High,type1,3
5,3,High,type3,2
6,3,Low,type1,3
7,3,Low,type2,2
8,2,High,type2,0
9,1,Low,type1,0
10,2,Low,type2,2
11,3,High,type3,2
12,3,Low,type2,0
13,3,High,type2,3
14,2,High,type1,1
15,1,High,type2,3
16,1,High,type1,1
17,3,Low,type2,1
18,1,High,type2,0
19,3,High,type1,0
20,1,Low,type2,2
21,2,Low,type3,3
22,2,High,type1,2
23,3,Low,type1,1
24,3,Low,type1,2
25,3,Low,type1,3
26,3,Low,type3,2
27,1,High,type1,2
28,2,High,type2,2
29,3,Low,type1,0
30,1,High,type1,3
31,3,High,type1,0
32,3,Low,type1,1
33,1,High,type3,0
34,2,Low,type2,3
35,2,Low,type2,1
36,3,High,type2,0
37,1,Low,type3,2
38,2,Low,type1,0
39,1,Low,type3,1
40,2,Low,type2,0
41,2,High,type3,3
42,3,Low,type2,3
43,1,High,type1,3
44,1,Low,type2,1
45,1,High,type1,1
46,1,Low,type1,1
47,3,High,type2,2
48,2,High,type3,2
49,2,High,type2,1
50,2,Low,type2,3
51,1,High,type3,2
52,1,Low,type1,3
53,1,Low,type3,2
54,2,High,type2,1
55,3,High,type2,1
56,1,High,type3,3
57,3,Low,type2,0
58,2,Low,type3,0
59,3,High,type2,0
60,1,Low,type3,1
61,1,Low,type1,3
62,3,Low,type3,2
63,1,High,type1,2
64,1,Low,type3,2
65,2,Low,type2,1
66,2,Low,type3,3
67,1,High,type1,0
68,3,Low,type3,0
69,3,High,type1,0
70,1,High,type3,1
71,1,High,type1,2
72,3,High,type1,2
73,3,High,type3,0
74,1,High,type1,0
75,3,High,type2,3
76,1,High,type1,3
77,2,High,type1,2
78,3,Low,type3,2
79,2,High,type1,3
80,1,Low,type1,3
81,1,Low,type1,2
82,2,Low,type1,0
83,1,High,type3,1
84,1,Low,type1,0
85,1,Low,type2,1
86,1,Low,type3,3
87,1,High,type2,2
88,2,High,type3,0
89,1,Low,type3,1
90,1,Low,type1,2
91,1,Low,type2,0
92,2,High,type3,1
93,2,High,type2,2
94,3,High,type2,3
95,3,Low,type3,2
96,1,High,type3,0
97,3,High,type2,1
98,3,Low,type2,1
99,3,Low,type3,3
