age,gender,work,householdID
29,true,sans_activite,0
23,true,ouvrier_agricole,0
62,true,commercant,0
76,true,militaire,1
66,true,ouvrier,2
64,true,agriculteur,2
82,true,ouvrier_agricole,2
81,false,ecolier,3
87,true,retraite,3
34,false,retraite,4
31,true,ecolier,5
7,false,agriculteur,5
82,false,artisant,5
24,false,ecolier,6
93,false,retraite,6
29,true,ouvrier,6
18,true,commercant,7
74,true,employe_prive,7
14,false,retraite,7
19,false,ouvrier_agricole,8
59,true,ouvrier,8
76,true,militaire,9
20,false,ouvrier_agricole,10
12,false,retraite,10
63,true,employe_prive,11
89,true,ouvrier_agricole,11
78,false,agriculteur,11
76,true,ecolier,12
97,true,artisant,12
27,false,employe_prive,12
53,false,militaire,13
82,true,militaire,13
65,true,enseignant,13
41,true,agriculteur,14
25,false,militaire,14
24,true,employe_prive,15
97,true,enseignant,16
56,true,ecolier,17
85,false,artisant,17
68,true,retraite,17
77,false,ouvrier_agricole,18
61,false,employe_prive,19
20,true,commercant,19
22,true,militaire,19
20,true,commercant,20
1,false,commercant,21
80,true,ouvrier_batiment,21
24,true,ouvrier_agricole,22
85,true,conducteur,22
78,true,agriculteur,23
76,false,enseignant,23
79,true,artisant,23
27,true,enseignant,24
30,false,ouvrier_agricole,24
71,true,militaire,24
95,true,ouvrier,25
33,false,ouvrier_agricole,25
37,false,ouvrier_agricole,25
88,true,retraite,26
75,false,agriculteur,26
21,false,ouvrier,26
22,true,artisant,27
80,false,sans_activite,28
67,false,ouvrier_batiment,28
26,false,ouvrier,29
6,true,agriculteur,29
76,false,ouvrier,29
79,true,ouvrier_agricole,30
88,true,ouvrier,31
23,false,employe_prive,31
29,true,conducteur,31
24,false,ecolier,32
94,false,ecolier,32
78,true,ouvrier_agricole,32
11,false,ouvrier,33
60,false,ouvrier_agricole,34
23,false,ouvrier_agricole,34
66,false,ouvrier_batiment,35
22,false,artisant,35
4,false,artisant,36
55,false,conducteur,36
79,true,ouvrier_agricole,36
18,true,retraite,37
30,true,enseignant,38
20,false,commercant,38
72,false,ecolier,39
23,false,ouvrier,40
73,false,sans_activite,40
37,true,ecolier,41
41,false,ouvrier_agricole,41
59,true,agriculteur,42
35,true,employe_prive,42
4,false,conducteur,42
27,false,employe_prive,43
20,true,ouvrier_batiment,44
9,true,sans_activite,45
26,false,conducteur,46
23,true,artisant,47
59,false,employe_prive,47
16,true,commercant,47
96,true,enseignant,48
59,true,artisant,48
76,true,artisant,49
18,true,ecolier,49
78,false,sans_activite,50
78,false,retraite,50
58,false,commercant,51
9,false,enseignant,52
59,false,ouvrier_agricole,53
72,true,militaire,54
64,false,enseignant,54
58,true,retraite,55
37,true,ouvrier_batiment,55
27,false,conducteur,55
80,false,retraite,56
80,false,militaire,57
27,false,conducteur,57
20,true,commercant,57
50,false,commercant,58
55,false,ecolier,58
29,false,ouvrier_batiment,59
28,true,ouvrier_batiment,59
17,true,ouvrier_agricole,59
19,true,retraite,60
14,true,retraite,61
26,true,ecolier,62
3,true,enseignant,62
48,true,ecolier,62
25,true,ouvrier_agricole,63
78,false,ouvrier_agricole,64
22,false,commercant,65
58,false,ouvrier_batiment,65
62,true,ouvrier,66
30,false,agriculteur,66
70,false,retraite,67
43,false,sans_activite,68
78,false,ouvrier,68
81,false,ouvrier,68
70,false,retraite,69
49,false,ecolier,69
27,true,ecolier,69
80,true,ouvrier_agricole,70
29,true,artisant,71
25,true,ecolier,72
57,false,ouvrier_batiment,72
24,false,ecolier,72
95,true,ouvrier,73
30,true,employe_prive,73
100,true,artisant,73
99,true,sans_activite,74
19,true,ouvrier,75
61,true,ecolier,75
76,false,artisant,75
99,false,enseignant,76
76,false,ouvrier,77
67,false,commercant,77
71,false,ouvrier_agricole,78
26,false,conducteur,78
17,true,sans_activite,78
27,true,employe_prive,79
64,false,employe_prive,79
28,false,enseignant,80
27,false,employe_prive,81
18,false,ouvrier_agricole,82
1,false,sans_activite,82
28,true,employe_prive,83
76,true,retraite,84
80,true,employe_prive,85
68,true,employe_prive,86
51,false,enseignant,87
56,false,enseignant,88
50,true,ouvrier,88
94,true,agriculteur,89
28,true,retraite,90
47,false,conducteur,91
79,false,agriculteur,92
21,false,enseignant,92
96,false,sans_activite,93
15,false,enseignant,93
56,false,commercant,94
26,false,ouvrier_batiment,94
23,false,employe_prive,94
76,false,ouvrier,95
13,true,ouvrier,95
82,false,employe_prive,95
37,true,ouvrier_batiment,96
20,true,ouvrier_agricole,97
38,false,agriculteur,97
23,true,ouvrier_agricole,97
31,true,agriculteur,98
66,false,enseignant,98
57,false,ecolier,98
21,false,agriculteur,99
78,true,sans_activite,99
52,true,ecolier,99
